// HSK 3.0/Level 6
挨着	ai1zhe5	near
图书	tu2shu1	books (in a library or bookstore) M: 本běn [本] / 册cè [册] / 部bù [部]
徒弟	tu2di4	1 apprentice 2 disciple
途径	tu2jing4	way; means; channel
土	tu3	1 earth 2 dust 3 clay 4 local 5 indigenous 6 crude opium 7 unsophisticated 8 one of the eight categories of ancient musical instruments 八音bāyīn [八音]
团队	tuan2dui4	team
推出	tui1chu1	1 to push out 2 to release 3 to launch 4 to publish 5 to recommend
退票	tui4piao4	1 to bounce (a check) 2 to return a ticket 3 ticket refund
吞	tun1	1 to swallow 2 to take
托	tuo1	1 to trust 2 to entrust 3 to be entrusted with 4 to act as trustee
拖	tuo1	1 to drag 2 to tow 3 to trail 4 to hang down 5 to mop (the floor) 6 to delay 7 to drag on
拖鞋	tuo1xie2	1 slippers 2 sandals 3 flip-flops M: 双shuāng [双] / 只zhī [只]
挖	wa1	1 to dig 2 to excavate 3 to scoop out
娃娃	wa2wa5	1 baby 2 small child 3 doll
哇	wa5	replaces 啊a [啊] when following the vowel "u" or "ao"
外币	wai4bi4	foreign currency
外部	wai4bu4	1 the outside; (attributive) external 2 exterior; surface
外出	wai4chu1	1 to go out 2 to go away (on a trip etc)
外观	wai4guan1	outward appearance
外科	wai4ke1	surgery (branch of medicine)
外来	wai4lai2	1 external 2 foreign 3 outside
外头	wai4tou5	outside; outdoors
外衣	wai4yi1	1 outer clothing 2 semblance 3 appearance
外资	wai4zi1	foreign investment
弯曲	wan1qu1	1 to bend 2 to curve around 3 curved 4 crooked 5 to wind 6 to warp
顽皮	wan2pi2	naughty
顽强	wan2qiang2	1 tenacious 2 hard to defeat
王后	wang2hou4	queen M: 个gè [个] / 位wèi [位]
王子	wang2zi3	1 prince 2 son of a king
网吧	wang3ba1	Internet café
网页	wang3ye4	web page
往后	wang3hou4	1 from now on 2 in the future 3 time to come
往来	wang3lai2	1 dealings 2 contacts 3 to go back and forth
往年	wang3nian2	in former years; in previous years
望见	wang4jian4	1 to espy 2 to spot
危机	wei1ji1	crisis M: 个gè [个]
威胁	wei1xie2	to threaten; to menace
微波炉	wei1bo1lu2	microwave oven M: 台tái [台]
维生素	wei2sheng1su4	vitamin
为此	wei4ci3	1 for this reason 2 with regards to this 3 in this respect 4 in order to do this 5 to this end
为何	wei4he2	why
文娱	wen2yu2	1 cultural recreation 2 entertainment
卧铺	wo4pu4	1 a bed (on a train) 2 a couchette
乌云	wu1yun2	black cloud
无边	wu2bian1	1 without boundary 2 not bordered
无关	wu2guan1	1 unrelated 2 having nothing to do (with sth else)
无效	wu2xiao4	1 not valid 2 ineffective 3 in vain
舞蹈	wu3dao3	1 dance (performance art) 2 dancing
物品	wu4pin3	articles; goods
误	wu4	1 mistake 2 error 3 to miss 4 to harm 5 to delay 6 to neglect 7 mistakenly
西班牙语	Xi1ban1ya2yu3	Spanish language
吸毒	xi1du2	to take drugs
牺牲	xi1sheng1	1 to sacrifice one's life 2 to sacrifice (sth valued) 3 beast slaughtered as a sacrifice
洗衣粉	xi3yi1fen3	1 laundry detergent 2 washing powder
戏曲	xi4qu3	Chinese opera
细胞	xi4bao1	cell (biology)
细菌	xi4jun1	1 bacterium 2 germ
先锋	xian1feng1	vanguard; pioneer; avant-garde
嫌	xian2	1 to dislike 2 suspicion 3 resentment 4 enmity 5 abbr. for 嫌犯xiánfàn [嫌犯], criminal suspect
显出	xian3chu1	1 to express 2 to exhibit
险	xian3	1 danger 2 dangerous 3 rugged
线路	xian4lu4	1 (electricity) line; circuit; wire 2 (traffic) road; track; route
陷入	xian4ru4	1 to sink into 2 to get caught up in 3 to land in (a predicament)
响声	xiang3sheng1	noise
想不到	xiang3bu5dao4	1 unexpected 2 hard to imagine 3 it had not occurred to me 4 who could have thought that
消耗	xiao1hao4	1 to consume; to use up 2 to deplete; to expend 3 (old) news; mail; message
消灭	xiao1mie4	1 to put an end to 2 to annihilate 3 to cause to perish 4 to perish 5 annihilation (in quantum field theory)
小费	xiao3fei4	1 tip 2 gratuity
小麦	xiao3mai4	wheat M: 粒lì [粒]
小于	xiao3yu2	less than, <
晓得	xiao3de5	to know
笑脸	xiao4lian3	1 smiling face 2 smiley :) ☺ M: 副fù [副]
笑容	xiao4rong2	1 smile 2 smiling expression M: 副fù [副]
笑声	xiao4sheng1	laughter
协会	xie2hui4	1 an association 2 a society M: 个gè [个] / 家jiā [家]
协商	xie2shang1	1 to consult with 2 to talk things over 3 agreement
协调	xie2tiao2	1 to coordinate 2 to harmonize 3 to fit together 4 to match (colors etc) 5 harmonious 6 concerted
协助	xie2zhu4	to provide assistance; to aid
写字楼	xie3zi4lou2	office building
写字台	xie3zi4tai2	writing desk
心灵	xin1ling2	1 bright 2 smart 3 quick-witted 4 heart 5 thoughts 6 spirit
心愿	xin1yuan4	1 cherished desire 2 dream 3 craving 4 wish 5 aspiration
心脏	xin1zang4	heart M: 颗kē [颗] / 个gè [个]
心脏病	xin1zang4bing4	heart disease
新人	xin1ren2	1 newcomer; new recruit; fresh talent 2 newlywed, esp. new bride 3 newlywed couple; bride and groom 4 (paleoanthropology) later-period Homo sapiens
新兴	xin1xing1	1 (of markets, industries, infectious diseases etc) rising 2 emerging 3 in the ascendant
薪水	xin1shui3	1 salary 2 wage
信仰	xin4yang3	1 to believe in (a religion) 2 firm belief 3 conviction
信用	xin4yong4	1 trustworthiness 2 (commerce) credit 3 (literary) to trust and appoint
兴旺	xing1wang4	1 prosperous 2 thriving 3 to prosper 4 to flourish
行程	xing2cheng2	1 journey; travel route; distance of travel 2 course (of history) 3 stroke (of a piston) 4 (Tw) (computing) process
形	xing2	1 to appear 2 to look 3 form 4 shape
凶	xiong1	1 terrible 2 fearful
凶手	xiong1shou3	1 murderer 2 assassin
修车	xiu1che1	to repair a bike (car etc)
袖珍	xiu4zhen1	1 pocket-sized 2 pocket (book etc)
悬	xuan2	1 to hang or suspend 2 to worry 3 public announcement 4 unresolved 5 baseless 6 without foundation
旋转	xuan2zhuan3	1 to rotate 2 to revolve 3 to spin 4 to whirl
选拔	xuan3ba2	to select the best
选举	xuan3ju3	1 to elect 2 election M: 次cì [次] / 个gè [个]
学会	xue2hui4	1 to learn; to master 2 institute; learned society; (scholarly) association
学员	xue2yuan2	1 student 2 member of an institution of learning 3 officer cadet
血管	xue4guan3	1 vein 2 artery M: 根gēn [根]
血液	xue4ye4	1 blood 2 (fig.) lifeblood
循环	xun2huan2	1 to cycle 2 to circulate 3 circle 4 loop
压迫	ya1po4	1 to oppress 2 to repress 3 to constrict 4 oppression 5 stress (physics)
烟花	yan1hua1	1 fireworks 2 prostitute (esp. in Yuan theater)
沿	yan2	1 along 2 to follow (a line, tradition etc) 3 to carry on 4 to trim (a border with braid, tape etc) 5 border 6 edge
沿海	yan2hai3	coastal
沿着	yan2zhe5	1 to go along 2 to follow
研发	yan2fa1	1 research and development 2 to develop
眼看	yan3kan4	1 soon 2 in a moment 3 to look on as sth happens
演奏	yan3zou4	to perform on a musical instrument
宴会	yan4hui4	1 banquet 2 feast 3 dinner party M: 席xí [席] / 个gè [个]
洋	yang2	1 ocean 2 vast 3 foreign 4 silver dollar or coin
仰	yang3	1 to face upward 2 to look up 3 to admire 4 to rely on
养老	yang3lao3	1 to provide for the elderly (family members) 2 to enjoy a life in retirement
氧气	yang3qi4	oxygen
样	yang4	1 manner 2 pattern 3 way 4 appearance 5 shape 6 classifier: kind, type
药品	yao4pin3	1 medicaments 2 medicine 3 drug
要不然	yao4bu4ran2	1 otherwise 2 or else 3 or
要好	yao4hao3	1 to be on good terms 2 to be close friends 3 striving for self-improvement
要么	yao4me5	1 or 2 either one or the other
要素	yao4su4	1 essential factor 2 key constituent
野	ye3	1 field 2 plain 3 open space 4 limit 5 boundary 6 rude 7 feral
野生	ye3sheng1	1 wild 2 undomesticated
医药	yi1yao4	1 medical care and medicines 2 medicine (drug) 3 medical 4 pharmaceutical
依次	yi1ci4	1 in order 2 in succession
依赖	yi1lai4	to depend on; to be dependent on
一次性	yi1ci4xing4	1 one-off (offer) 2 one-time 3 single-use 4 disposable (goods)
一代	yi1dai4	generation
一道	yi1dao4	together
一贯	yi1guan4	1 consistent 2 constant 3 from start to finish 4 all along 5 persistent
一路上	yi1lu4shang4	1 along the way 2 the whole way 3 (fig.) the whole time
仪器	yi2qi4	instrument; apparatus M: 台tái [台]
仪式	yi2shi4	ceremony
遗憾	yi2han4	1 regret 2 to regret 3 to be sorry that
一番	yi4 fan1	noun one kind 别有一般滋味 bié yǒu yībān zīwèi have some indescribable taste
一模一样	yi1mu2yi1yang4	1 (idiom) exactly alike; identical 2 also pr. [yīmó-yīyàng]
一齐	yi1qi2	1 at the same time 2 simultaneously
一时	yi1shi2	1 a period of time 2 a while 3 for a short while 4 temporary 5 momentary 6 at the same time
一同	yi1tong2	together
一行	yi1xing2	1 party 2 delegation
艺人	yi4ren2	1 performing artist 2 actor
议题	yi4ti2	1 topic of discussion 2 topic 3 subject 4 issue (under discussion) M: 项xiàng [项]
异常	yi4chang2	1 unusual; abnormal 2 extremely; exceptionally
意想不到	yi4xiang3bu4dao4	1 unexpected 2 previously unimagined
意愿	yi4yuan4	1 aspiration 2 wish (for) 3 desire
因	yin1	1 cause 2 reason 3 because
因素	yin1su4	1 element 2 factor M: 个gè [个]
阴谋	yin1mou2	1 to conspire; to plot 2 a conspiracy; a plot
阴影	yin1ying3	(lit. and fig.) shadow
音量	yin1liang4	1 loudness 2 volume
音像	yin1xiang4	1 audio and video 2 audiovisual
隐藏	yin3cang2	1 to hide 2 to conceal 3 to mask 4 to shelter 5 to harbor (i.e. keep sth hidden) 6 to hide oneself 7 to lie low 8 to nestle 9 hidden 10 implicit 11 private 12 covert 13 recessed (lighting)
隐私	yin3si1	1 secrets 2 private business 3 privacy
印	yin4	1 to print 2 to mark 3 to engrave 4 a seal 5 a print 6 a stamp 7 a mark 8 a trace 9 image
英雄	ying1xiong2	hero M: 个gè [个]
迎来	ying2lai2	1 to welcome (a visitor or newcomer) 2 (fig.) to usher in
影迷	ying3mi2	1 film enthusiast 2 movie fan M: 个gè [个]
影星	ying3xing1	film star
应对	ying4dui4	1 to answer; to reply 2 to handle; to deal with 3 response
应急	ying4ji2	1 to respond to an emergency 2 to meet a contingency 3 (attributive) emergency
用处	yong4chu5	usefulness M: 个gè [个]
用得着	yong4de5zhao2	1 to be able to use; useable; to have a use for 2 (in a question) to be necessary to
用法	yong4fa3	usage
用品	yong4pin3	1 articles for use 2 products 3 goods
用心	yong4xin1	1 motive 2 intention 3 to be diligent or attentive 4 careful
优质	you1zhi4	excellent quality
游人	you2ren2	a tourist
游玩	you2wan2	1 to amuse oneself 2 to have fun 3 to go sightseeing 4 to take a stroll
游戏机	you2xi4ji1	1 video game machine 2 video game console
游行	you2xing2	1 to march; to parade; to demonstrate 2 procession; march; demonstration 3 to travel around; to roam
有关	you3guan1	1 to have sth to do with 2 to relate to 3 related to 4 to concern 5 concerning
有没有	you3mei2you3	1 (before a noun) Do (you, they etc) have ...? 2 Is there a ...? 3 (before a verb) Did (you, they etc) (verb, infinitive)? 4 Have (you, they etc) (verb, past participle)?
有事	you3shi4	1 to be occupied with sth 2 to have sth on one's mind 3 there is something the matter
于	yu2	1 to go 2 to take 3 sentence-final interrogative particle 4 variant of 于yú [于]
娱乐	yu2le4	1 to entertain 2 to amuse 3 entertainment 4 recreation 5 amusement 6 hobby 7 fun 8 joy
愉快	yu2kuai4	cheerful; happy; pleasant; delighted
与	yu3	1 and 2 to give 3 together with
宇航员	yu3hang2yuan2	astronaut
雨衣	yu3yi1	raincoat M: 件jiàn [件]
预约	yu4yue1	1 booking 2 reservation 3 to book 4 to make an appointment
元素	yuan2su4	1 element (key component of sth) 2 (chemistry) element 3 (math.) element (member of a set)
园	yuan2	1 land used for growing plants 2 site used for public recreation 3 abbr. for a place ending in 园, such as a botanical garden 植物园, kindergarten 幼儿园 etc
园地	yuan2di4	garden area
原	yuan2	1 former 2 original 3 primary 4 raw 5 level 6 cause 7 source
原告	yuan2gao4	1 complainant 2 plaintiff
原谅	yuan2liang4	1 to excuse 2 to forgive 3 to pardon
圆珠笔	yuan2zhu1bi3	ballpoint pen M: 支zhī [支] / 枝zhī [枝]
援助	yuan2zhu4	1 to help 2 to support 3 to aid 4 aid 5 assistance
缘故	yuan2gu4	1 reason 2 cause
远方	yuan3fang1	1 far away 2 a distant location
远离	yuan3li2	1 to be far from 2 to keep away from
远远	yuan3yuan3	1 distant 2 by far
约定	yue1ding4	1 to agree on sth (after discussion) 2 to conclude a bargain 3 to arrange 4 to promise 5 to stipulate 6 to make an appointment 7 stipulated (time, amount, quality etc) 8 an arrangement 9 a deal 10 appointment 11 undertaking 12 commitment 13 understanding 14 engagement 15 stipulation
乐曲	yue4qu3	musical composition
晕	yun1	1 confused 2 dizzy 3 giddy 4 to faint 5 to swoon 6 to lose consciousness 7 to pass out
允许	yun3xu3	1 to permit 2 to allow
运作	yun4zuo4	1 to operate 2 operations 3 workings 4 activities (usu. of an organization) 5 thread (computing)
晕车	yun4che1	to be carsick
杂	za2	1 mixed 2 miscellaneous 3 various 4 to mix
再生	zai4sheng1	1 to be reborn 2 to regenerate 3 to be a second so-and-so (famous dead person) 4 recycling 5 regeneration
再说	zai4shuo1	1 to say again 2 to put off a discussion until later 3 moreover 4 what's more 5 besides
遭到	zao1dao4	1 to suffer 2 to meet with (sth unfortunate)
遭受	zao1shou4	to suffer; to sustain (loss, misfortune)
遭遇	zao1yu4	1 to meet with 2 to encounter 3 (bitter) experience
早晚	zao3wan3	1 morning and evening 2 (in reference to sth that is bound to happen) sooner or later; one of these days 3 (coll.) (this, or that) point of time 4 (dialect) at some time in the future
增进	zeng1jin4	1 to promote 2 to enhance 3 to further 4 to advance (a cause etc)
增值	zeng1zhi2	1 to appreciate (financially) 2 to increase in value 3 value-added (accountancy)
扎	zha1	1 to prick 2 to run or stick (a needle etc) into 3 mug or jug used for serving beer (loanword from "jar")
扎实	zha1shi5	1 strong 2 solid 3 sturdy 4 firm 5 practical
炸	zha4	1 to burst; to explode 2 to blow up; to bomb 3 (coll.) to fly into a rage 4 (coll.) to scamper off; to scatter
炸弹	zha4dan4	bomb M: 枚méi [枚] / 颗kē [颗]
炸药	zha4yao4	explosive (material)
债	zhai4	debt M: 笔bǐ [笔]
占据	zhan4ju4	to occupy; to hold
战场	zhan4chang3	battlefield M: 个gè [个]
战略	zhan4lüe4	strategy
战术	zhan4shu4	tactics
战友	zhan4you3	1 comrade-in-arms 2 battle companion
站台	zhan4tai2	1 platform (at a railway station) 2 (Tw) (of an influential person) to publicly lend one's support (e.g. for an election candidate) 3 (Tw) website
章	zhang1	1 chapter 2 section 3 clause 4 movement (of symphony) 5 seal 6 badge 7 regulation 8 order
长	zhang3	1 chief 2 head 3 elder 4 to grow 5 to develop 6 to increase 7 to enhance
掌声	zhang3sheng1	applause M: 阵zhèn [阵]
账	zhang4	1 account 2 bill 3 debt M: 本běn [本] / 笔bǐ [笔]
账户	zhang4hu4	1 bank account 2 online account
涨	zhang3	to rise (of prices, rivers)
障碍	zhang4ai4	1 barrier 2 obstruction 3 hindrance 4 impediment 5 obstacle
招	zhao1	1 to recruit 2 to provoke 3 to beckon 4 to incur 5 to infect 6 contagious 7 a move (chess) 8 a maneuver 9 device 10 trick 11 to confess
招聘	zhao1pin4	1 to invite applications for a job 2 to recruit
照样	zhao4yang4	1 as before 2 (same) as usual 3 in the same manner 4 still 5 nevertheless
照耀	zhao4yao4	1 to shine 2 to illuminate
哲学	zhe2xue2	philosophy
这就是说	zhe4jiu4shi4shuo1	1 in other words 2 that is to say
镇	zhen4	1 to press down 2 to calm 3 to subdue 4 to suppress 5 to guard 6 garrison 7 small town 8 to cool or chill (food or drinks)
争夺	zheng1duo2	1 to fight over 2 to contest 3 to vie over
整顿	zheng3dun4	1 to tidy up 2 to reorganize 3 to consolidate 4 to rectify
整治	zheng3zhi4	1 to bring under control 2 to regulate 3 to restore to good condition 4 (coll.) to fix (a person) 5 to prepare (a meal etc)
正当	zheng4dang1	1 timely 2 just (when needed)
政策	zheng4ce4	policy M: 个gè [个]
政党	zheng4dang3	political party M: 个gè [个]
政权	zheng4quan2	1 regime 2 political power
症状	zheng4zhuang4	symptom (of an illness)
之类	zhi1lei4	1 and so on 2 and such
支撑	zhi1cheng1	1 to prop up 2 to support 3 strut 4 brace
支援	zhi1yuan2	1 to provide assistance 2 to support 3 to back
枝	zhi1	1 branch 2 classifier for sticks, rods, pencils etc
知名	zhi1ming2	well-known; famous
织	zhi1	to weave
直升机	zhi2sheng1ji1	helicopter M: 架jià [架]
职责	zhi2ze2	1 duty 2 responsibility 3 obligation
止	zhi3	1 to stop 2 to prohibit 3 until 4 only
只得	zhi3de2	to have no alternative but to; to be obliged to
只顾	zhi3gu4	to focus solely on; to pay attention only to; to be preoccupied with
只管	zhi3guan3	1 solely engrossed in one thing 2 just (one thing, no need to worry about the rest) 3 simply 4 by all means 5 please feel free 6 do not hesitate (to ask for sth)
指定	zhi3ding4	1 to appoint 2 to assign 3 to indicate clearly and with certainty 4 designated
指数	zhi3shu4	1 (numerical, statistical) index 2 (math.) exponent 3 index 4 exponential (function, growth)
指头	zhi3tou5	1 finger 2 toe M: 个gè [个]
指着	zhi3zhe5
至于	zhi4yu2	1 as for 2 as to 3 to go so far as to
治病	zhi4bing4	to treat an illness
智慧	zhi4hui4	wisdom; intelligence
中等	zhong1deng3	medium
中华	Zhong1hua2	1 Zhonghua, historical and cultural term for China, often used to denote Chinese civilization and identity (as in 中华文化Zhōnghuáwénhuà [中华文化] "Chinese culture") 2 used in the official name of the Republic of China, 中华民国 Zhōnghuá Mínguó [中华民国]
中期	zhong1qi1	1 middle (of a period of time) 2 medium-term (plan, forecast etc)
中外	zhong1wai4	1 Sino-foreign 2 Chinese-foreign 3 home and abroad
忠心	zhong1xin1	1 good faith 2 devotion 3 loyalty 4 dedication
钟头	zhong1tou2	hour M: 个gè [个]
肿	zhong3	1 to swell 2 swelling 3 swollen
种种	zhong3zhong3	all kinds of
粥	zhou1	1 congee 2 gruel 3 porridge M: 碗wǎn [碗]
珠宝	zhu1bao3	1 pearls 2 jewels 3 precious stones
诸位	zhu1wei4	1 (pron) everyone 2 Ladies and Gentlemen 3 Sirs
主持人	zhu3chi2ren2	1 host; master of ceremonies; (TV or radio) presenter; anchor 2 (Tw) (research project) principal investigator (PI); program director
主角	zhu3jue2	1 leading role; lead 2 protagonist
主流	zhu3liu2	1 main stream (of a river) 2 fig. the essential point 3 main viewpoint of a matter 4 mainstream (culture etc)
煮	zhu3	1 to cook 2 to boil
住宅	zhu4zhai2	residence; dwelling; abode
驻	zhu4	1 to halt 2 to stay 3 to be stationed (of troops, diplomats etc)
柱子	zhu4zi5	pillar M: 根gēn [根]
祝愿	zhu4yuan4	to wish
专用	zhuan1yong4	1 special 2 dedicated
转	zhuan3	1 to turn 2 to change direction 3 to transfer 4 to forward (mail) 5 (Internet) to share (sb else's content)
转动	zhuan3dong4	1 to turn sth around 2 to swivel
赚	zhuan4	1 to earn 2 to make a profit
赚钱	zhuan4qian2	1 to earn money 2 moneymaking
装备	zhuang1bei4	1 equipment 2 to equip 3 to outfit
壮观	zhuang4guan1	1 spectacular 2 magnificent sight
追究	zhui1jiu1	1 to investigate 2 to look into
捉	zhuo1	1 to clutch 2 to grab 3 to capture
咨询	zi1xun2	to inquire; to consult; to seek advice from
自来水	zi4lai2shui3	running water; tap water
自我	zi4wo3	1 self- 2 ego (psychology)
自学	zi4xue2	1 self-study 2 to study on one's own
自言自语	zi4yan2zi4yu3	(idiom) to talk to oneself; to think aloud; to soliloquize
自在	zi4zai5	comfortable; at ease
宗教	zong1jiao4	religion
总部	zong3bu4	general headquarters
总监	zong3jian1	1 head 2 director (of an organizational unit) 3 (police) commissioner 4 inspector-general 5 rank of local governor in Tang dynasty administration
总经理	zong3jing1li3	1 general manager 2 CEO
总量	zong3liang4	1 total 2 overall amount
走私	zou3si1	1 to smuggle 2 to have an illicit affair
奏	zou4	1 to play music 2 to achieve 3 to present a memorial to the emperor (old)
租金	zu1jin1	rent
足	zu2	1 (bound form) foot; leg 2 sufficient; ample 3 as much as; fully
足以	zu2yi3	1 sufficient to... 2 so much so that 3 so that
族	zu2	1 race 2 nationality 3 ethnicity 4 clan 5 by extension, social group (e.g. office workers 上班族)
祖父	zu3fu4	1 father's father 2 paternal grandfather
祖国	zu3guo2	motherland
祖母	zu3mu3	father's mother; paternal grandmother
钻	zuan1	1 to drill 2 to bore 3 to get into 4 to make one's way into 5 to enter (a hole) 6 to thread one's way through 7 to study intensively 8 to dig into 9 to curry favor for personal gain
最佳	zui4jia1	1 optimum 2 optimal 3 peak 4 best (athlete, movie etc)
最终	zui4zhong1	final; ultimate
罪	zui4	1 guilt 2 crime 3 fault 4 blame 5 sin
罪恶	zui4e4	1 crime 2 evil 3 sin
作	zuo4	1 to do; to engage in 2 to write; to compose 3 to pretend; to feign 4 to regard as; to consider to be 5 to be; to act the part of 6 to feel (itchy, nauseous etc) 7 writings; works
作废	zuo4fei4	1 to become invalid 2 to cancel 3 to delete 4 to nullify
作战	zuo4zhan4	1 combat 2 to fight
座谈会	zuo4tan2hui4	1 conference 2 symposium 3 rap session
