// HSK 3.0/Level 6
挨着	ai1zhe5	near
定位	ding4wei4	1 to orientate 2 to position 3 to categorize (as) 4 to characterize (as) 5 positioning 6 position 7 niche
动画	dong4hua4	1 animation 2 cartoon
斗争	dou4zheng1	1 a struggle 2 fight 3 battle
都市	du1shi4	city; metropolis
毒品	du2pin3	1 drugs 2 narcotics 3 poison
赌	du3	to bet; to gamble
赌博	du3bo2	to gamble
渡	du4	1 to cross 2 to pass through 3 to ferry
端	duan1	1 old variant of 端duān [端] 2 start 3 origin
端午节	Duan1wu3jie2	Dragon Boat Festival (5th day of the 5th lunar month)
短片	duan3pian4	1 short film 2 video clip
队伍	dui4wu3	1 ranks 2 troops 3 queue 4 line 5 procession M: 个gè [个] / 支zhī [支] / 条tiáo [条]
对抗	dui4kang4	1 to withstand 2 to resist 3 to stand off 4 antagonism 5 confrontation
对外	dui4wai4	1 external 2 foreign 3 pertaining to external or foreign (affairs)
蹲	dun1	1 to crouch 2 to squat 3 to stay (somewhere)
多半	duo1ban4	1 most 2 mostly 3 most likely
多方面	duo1fang1mian4	1 many-sided 2 in many aspects
多媒体	duo1mei2ti3	multimedia
夺	duo2	1 to seize 2 to take away forcibly 3 to wrest control of 4 to compete or strive for 5 to force one's way through 6 to leave out 7 to lose
夺取	duo2qu3	1 to seize 2 to capture 3 to wrest control of
恩人	en1ren2	1 a benefactor 2 a person who has significantly helped sb else
儿科	er2ke1	pediatrics
发病	fa1bing4	1 (of an illness) to occur 2 (of a person) to get sick; to fall ill 3 onset (of a medical condition)
发电	fa1dian4	1 to generate electricity 2 to send a telegram
发放	fa1fang4	1 to provide 2 to give 3 to grant
发怒	fa1nu4	to get angry
发起	fa1qi3	1 to originate 2 to initiate 3 to launch (an attack, an initiative etc) 4 to start 5 to propose sth (for the first time)
发言人	fa1yan2ren2	spokesperson
发炎	fa1yan2	1 to become inflamed 2 inflammation
法庭	fa3ting2	court of law
法语	Fa3yu3	French (language)
番	fan1	1 (bound form) foreign (non-Chinese); barbarian 2 classifier for processes or actions that take time and effort 3 (classifier) a kind; a sort 4 (classifier) (used after the verb 翻fān [翻] to indicate how many times a quantity doubles, as in 翻一番fānyīfān [翻一番] "to double")
番茄	fan1qie2	tomato
凡是	fan2shi4	each and every; every; all; any
繁殖	fan2zhi2	1 to breed 2 to reproduce 3 to propagate
反抗	fan3kang4	1 to resist 2 to rebel
反问	fan3wen4	1 to ask (a question) in reply 2 to answer a question with a question 3 rhetorical question
反响	fan3xiang3	1 repercussions 2 reaction 3 echo
犯	fan4	1 to violate 2 to offend 3 to assault 4 criminal 5 crime 6 to make a mistake 7 recurrence (of mistake or sth bad)
犯规	fan4gui1	1 to break the rules 2 an illegality 3 a foul
犯罪	fan4zui4	1 to commit a crime 2 crime; offense
防范	fang2fan4	1 to be on guard 2 wariness 3 to guard against 4 preventive
防守	fang2shou3	1 to defend 2 to protect (against)
房价	fang2jia4	1 house price 2 cost of housing
仿佛	fang3fu2	1 to seem; as if; seemingly 2 alike; similar
飞船	fei1chuan2	1 spaceship 2 spacecraft 3 dirigible 4 airship
飞行员	fei1xing2yuan2	1 pilot 2 aviator
肺	fei4	lung M: 个gè [个]
分工	fen1gong1	1 to divide up the work 2 division of labor
分裂	fen1lie4	1 to split up 2 to divide 3 to break up 4 fission 5 schism
愤怒	fen4nu4	1 angry 2 indignant 3 wrath 4 ire
风暴	feng1bao4	1 storm 2 violent commotion 3 fig. crisis (e.g. revolution, uprising, financial crisis etc)
峰会	feng1hui4	summit meeting
奉献	feng4xian4	1 to offer respectfully 2 to consecrate 3 to dedicate 4 to devote
佛	fu2	1 (female) head ornament 2 variant of 佛fú [佛]
佛教	Fo2jiao4	Buddhism
服	fu2	1 clothes 2 dress 3 garment 4 to serve (in the military, a prison sentence etc) 5 to obey 6 to be convinced (by an argument) 7 to convince 8 to admire 9 to acclimatize 10 to take (medicine) 11 mourning clothes 12 to wear mourning clothes
浮	fu2	1 to float 2 superficial 3 floating 4 unstable 5 movable 6 provisional 7 temporary 8 transient 9 impetuous 10 hollow 11 inflated 12 to exceed 13 superfluous 14 excessive 15 surplus
父女	fu4nü3	father and daughter
父子	fu4zi3	father and son
负	fu4	1 to bear 2 to carry (on one's back) 3 to turn one's back on 4 to be defeated 5 negative (math. etc)
妇女	fu4nü3	woman
复苏	fu4su1	1 to recover (health, economic) 2 to resuscitate 3 anabiosis
副	fu4	1 secondary 2 auxiliary 3 deputy 4 assistant 5 vice- 6 abbr. for 副词 adverb 7 classifier for pairs, sets of things & facial expressions
富人	fu4ren2	1 rich person 2 the rich
富有	fu4you3	1 rich; wealthy; affluent 2 to be rich in; to be replete with
改装	gai3zhuang1	1 to change one's costume 2 to repackage 3 to remodel 4 to refit 5 to modify 6 to convert
干涉	gan1she4	1 to interfere 2 to meddle 3 interference
肝	gan1	1 liver (CL:叶yè [叶]) 2 (slang) to put in long hours, typically late into the night, playing (a video game) 3 (of a video game) involving a lot of repetition in order to progress; grindy
杆	gan1	pole M: 条tiáo [条] / 根gēn [根]
赶不上	gan3bu4shang4	1 can't keep up with 2 can't catch up with 3 cannot overtake
赶忙	gan3mang2	1 to hurry 2 to hasten 3 to make haste
赶上	gan3shang4	1 to keep up with 2 to catch up with 3 to overtake 4 to chance upon 5 in time for
敢于	gan3yu2	1 to have the courage to do sth 2 to dare to 3 bold in
感人	gan3ren2	touching; moving
刚好	gang1hao3	1 just 2 exactly 3 to happen to be
岗位	gang3wei4	a post; a job
港口	gang3kou3	1 port 2 harbor
高层	gao1ceng2	1 high-rise 2 high level; high class
高档	gao1dang4	1 superior quality 2 high grade 3 top grade
高等	gao1deng3	1 high-level 2 higher (animals, education etc) 3 advanced (math etc)
高峰	gao1feng1	1 peak 2 summit 3 height
高考	gao1kao3	1 college entrance exam (especially as abbr. for 普通高等学校招生全国统一考试      Pǔtōng Gāoděng Xuéxiào Zhāoshēng Quánguó Tǒngyī Kǎoshì [普通高等学校招生全国统一考试]) 2 (Tw) entrance exam for senior government service posts (abbr. for 公务人员高等考试)
高科技	gao1ke1ji4	high tech; high technology
高手	gao1shou3	1 expert 2 past master 3 dab hand
稿子	gao3zi5	1 draft of a document 2 script 3 manuscript 4 mental plan 5 precedent
歌唱	ge1chang4	to sing
歌词	ge1ci2	1 song lyric 2 lyrics
歌星	ge1xing1	1 singing star 2 famous singer
革新	ge2xin1	1 to innovate 2 innovation
更是	geng4shi4	even more (so)
工商	gong1shang1	industry and commerce
公	gong1	1 public 2 collectively owned 3 common 4 international (e.g. high seas, metric system, calendar) 5 make public 6 fair 7 just 8 Duke, highest of five orders of nobility 五等爵位wǔděngjuéwèi [五等爵位] 9 honorable (gentlemen) 10 father-in-law 11 male (animal)
公安	gong1an1	1 (Ministry of) Public Security 2 public safety 3 public security
公鸡	gong1ji1	cock; rooster
公众	gong1zhong4	public
公主	gong1zhu3	princess
攻击	gong1ji1	1 to attack 2 to accuse 3 to charge 4 an attack (terrorist or military)
供给	gong1ji3	1 to furnish 2 to provide 3 supply (as in supply and demand)
宫	gong1	1 palace 2 temple 3 castration (as corporal punishment) 4 first note in pentatonic scale
巩固	gong3gu4	1 to consolidate; to strengthen 2 firm; solid; stable
贡献	gong4xian4	1 to contribute 2 to dedicate 3 to devote 4 contribution M: 个gè [个]
构建	gou4jian4	to construct (sth abstract)
孤独	gu1du2	1 lonely 2 solitary
孤儿	gu1er2	orphan
姑姑	gu1gu5	paternal aunt M: 个gè [个]
古典	gu3dian3	classical
股	gu3	1 thigh 2 part of a whole; portion of a sum 3 (finance) stock; share 4 strand of a thread 5 low-level administrative unit, translated as "section" or "department" etc, ranked below 科kē [科] 6 classifier for long winding things like ropes, rivers etc 7 classifier for smoke, smells etc: thread, puff, whiff 8 classifier for bands of people, gangs etc 9 classifier for sudden forceful actions
股东	gu3dong1	1 shareholder 2 stockholder
股票	gu3piao4	1 share certificate 2 stock (finance)
故障	gu4zhang4	1 malfunction 2 breakdown 3 defect 4 shortcoming 5 fault 6 failure 7 impediment 8 error 9 bug (in software)
顾	gu4	to look after; to take into consideration; to attend to
刮	gua1	1 to scrape 2 to blow 3 to shave 4 to plunder 5 to extort
拐	guai3	1 to turn (a corner etc) 2 to kidnap 3 to swindle 4 to misappropriate 5 seven (used as a substitute for 七qī [七]) 6 variant of 拐guǎi [拐]
关爱	guan1ai4	to show concern and care for
关联	guan1lian2	1 to be related; to be connected 2 relationship; connection
观光	guan1guang1	1 to tour 2 sightseeing 3 tourism
官司	guan1si5	lawsuit M: 场cháng [场]
管道	guan3dao4	1 tubing 2 pipeline 3 (fig.) channel 4 means
光辉	guang1hui1	1 radiance 2 glory 3 brilliant 4 magnificent
广阔	guang3kuo4	1 wide 2 vast
轨道	gui3dao4	1 track (for trains etc) 2 orbit (of a satellite) 3 (fig.) a person's established path in life 4 desired trajectory (of a business or other endeavor) 5 (audio engineering) track 6 (quantum mechanics) orbital
跪	gui4	to kneel
国产	guo2chan3	domestically produced
国歌	guo2ge1	national anthem
国会	Guo2hui4	1 Parliament (UK) 2 Congress (US) 3 Diet (Japan) 4 Legislative Yuan (Taiwan)
国旗	guo2qi2	flag (of a country) M: 面miàn [面]
国王	guo2wang2	king
果酱	guo3jiang4	jam
果树	guo3shu4	fruit tree M: 棵kē [棵]
过渡	guo4du4	1 to cross over (by ferry) 2 transition 3 interim 4 caretaker (administration)
过后	guo4hou4	after the event
过时	guo4shi2	1 old-fashioned 2 out of date 3 to be later than the time stipulated or agreed upon
海报	hai3bao4	1 poster 2 playbill 3 notice
海底	hai3di3	seabed; seafloor; bottom of the ocean
海军	hai3jun1	navy
海浪	hai3lang4	sea wave
海外	hai3wai4	overseas; abroad
海湾	hai3wan1	1 bay 2 gulf
海洋	hai3yang2	ocean M: 个gè [个]
好容易	hao3rong2yi4	1 (idiomatic usage) with great difficulty 2 to have a hard time (convincing sb, relinquishing sth etc) 3 (literal usage) so easy
好似	hao3si4	1 to seem 2 to be like
好转	hao3zhuan3	1 to improve 2 to take a turn for the better 3 improvement
好学	hao3xue2	easy to learn
合约	he2yue1	contract; agreement M: 份fèn [份]
和谐	he2xie2	1 harmonious 2 harmony 3 (euphemism) to censor
核心	he2xin1	core; nucleus
黑夜	hei1ye4	night
很难说	hen3 nan2shuo1
狠	hen3	1 very; quite 2 (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)
横	heng2	1 horizontal 2 across 3 crosswise 4 horizontal stroke (in Chinese characters) 5 to place (sth) flat (on a surface) 6 to cross (a river, etc) 7 in a jumble 8 chaotic 9 (in fixed expressions) harsh and unreasonable 10 violent
衡量	heng2liang2	1 to weigh 2 to examine 3 to consider
宏大	hong2da4	great; grand
洪水	hong2shui3	deluge; flood
忽略	hu1lüe4	to neglect; to overlook; to ignore
壶	hu2	1 pot 2 classifier for bottled liquid
互动	hu4dong4	1 to interact 2 interactive
户外	hu4wai4	outdoor
护	hu4	to protect
花费	hua1fei4	1 expense 2 cost 3 to spend (time or money) 4 expenditure
