// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
聪明	cong1ming5	1 intelligent; clever; bright 2 acute (of sight and hearing)
从而	cong2er2	1 thus 2 thereby
从中	cong2zhong1	1 from within 2 therefrom
脆	cui4	1 brittle 2 fragile 3 crisp 4 crunchy 5 clear and loud voice 6 neat
存款	cun2kuan3	1 to deposit money (in a bank etc) 2 bank savings 3 bank deposit
寸	cun4	1 a unit of length 2 inch 3 thumb
达成	da2cheng2	1 to reach (an agreement) 2 to accomplish
答	da2	1 to answer 2 to reply 3 to respond
答复	da2fu4	1 to answer 2 to reply 3 Reply to: (in email header)
打	da3	1 a semantically light, transitive verb that is combined with various grammatical objects to form compound verbs and verb-object phrases with a diverse range of meanings (e.g. 打伞dǎsǎn [打伞] "to hold an umbrella", 打电话dǎdiànhuà [打电话] "to make a phone call", 打针dǎzhēn [打针] "to get an injection", 打手套dǎshǒutào [打手套] "to knit gloves", 打气dǎqì [打气] "to inflate") 2 to hit; to strike 3 to fight 4 (coll.) from; since (as in 打那以后dǎnàyǐhòu [打那以后] "since then")
打扮	da3ban5	1 to decorate 2 to dress 3 to make up 4 to adorn 5 manner of dressing 6 style of dress
打包	da3bao1	1 to wrap; to pack 2 to put leftovers in a doggy bag for take-out 3 (computing) to package (i.e. create an archive file)
打击	da3ji1	1 to hit 2 to strike 3 to attack 4 to crack down on sth 5 blow 6 (psychological) shock 7 percussion (music)
打架	da3jia4	1 to fight 2 to scuffle 3 to come to blows M: 场cháng [场]
打扰	da3rao3	1 to disturb 2 to bother 3 to trouble
大胆	da4dan3	1 brazen 2 audacious 3 outrageous 4 bold 5 daring 6 fearless
大都	da4dou1	1 for the most part 2 on the whole 3 also pr. [dàdū]
大纲	da4gang1	1 synopsis 2 outline 3 program 4 leading principles
大伙儿	da4huo3r5	1 everybody 2 everyone 3 we all
大奖赛	da4jiang3sai4	grand prix
大脑	da4nao3	1 brain 2 cerebrum
大事	da4shi4	1 major event 2 major political event (war or change of regime) 3 major social event (wedding or funeral) 4 (do sth) in a big way M: 件jiàn [件] / 桩zhuāng [桩]
大厅	da4ting1	hall; concourse; public lounge; (hotel) lobby
大象	da4xiang4	elephant M: 头tóu [头]
大熊猫	da4xiong2mao1	giant panda (Ailuropoda melanoleuca)
大于	da4yu2	greater than; bigger than; more than
大致	da4zhi4	more or less; roughly; approximately
呆	dai1	1 foolish; stupid 2 expressionless; blank 3 variant of 待dāi [待]
待	dai4	1 to wait 2 to treat 3 to deal with 4 to need 5 going to (do sth) 6 about to 7 intending to
代价	dai4jia4	1 price 2 cost 3 consideration (in share dealing)
代理	dai4li3	1 to act on behalf of sb in a responsible position 2 to act as an agent or proxy 3 surrogate 4 (computing) proxy
带有	dai4you3	to have as a feature or characteristic; to have an element of (confidence, sweetness, malevolence etc); to carry (a pathogen, connotation etc)
贷款	dai4kuan3	1 a loan M: 笔bǐ [笔] 2 to provide a loan (e.g. bank) 3 to raise a loan (from e.g. a bank)
单一	dan1yi1	1 single 2 only 3 sole
胆	dan3	1 gall bladder 2 courage 3 guts 4 gall 5 inner container (e.g. bladder of a football, inner container of a thermos)
胆小	dan3xiao3	1 cowardice 2 timid
蛋糕	dan4gao1	cake M: 块kuài [块] / 个gè [个]
当场	dang1chang3	at the scene; on the spot
当代	dang1dai4	1 the present age 2 the contemporary era
当年	dang1nian2	1 in those days; back then; in those years 2 to be in the prime of life
当前	dang1qian2	1 the present time 2 to be faced with
当选	dang1xuan3	to be elected; to be selected
挡	dang3	1 to resist 2 to obstruct 3 to hinder 4 to keep off 5 to block (a blow) 6 to get in the way of 7 cover 8 gear (e.g. in a car's transmission)
到来	dao4lai2	1 to arrive 2 arrival; advent
倒是	dao4shi5	1 contrary to what one might expect 2 actually 3 contrariwise 4 why don't you
道德	dao4de2	1 virtue 2 morality 3 ethics M: 种zhǒng [种]
得了	de2le5	1 all right! 2 that's enough!
得以	de2yi3	1 able to 2 so that sb can 3 enabling 4 in order to 5 finally in a position to 6 with sth in view
等候	deng3hou4	1 to wait 2 to wait for
等级	deng3ji2	1 grade 2 rank 3 status
低于	di1yu2	to be lower than
地带	di4dai4	zone M: 个gè [个]
地形	di4xing2	1 topography 2 terrain 3 landform
地震	di4zhen4	earthquake
递	di4	1 to hand over; to pass on; to deliver 2 (bound form) progressively; in the proper order
递给	di4gei3	to hand it (i.e. the aforementioned item) to (sb)
典礼	dian3li3	ceremony; celebration
点燃	dian3ran2	1 to ignite 2 to set on fire 3 aflame
电池	dian4chi2	battery M: 节jié [节] / 组zǔ [组]
电饭锅	dian4fan4guo1	electric rice cooker
电子版	dian4zi3ban3	1 electronic edition 2 digital version
调动	diao4dong4	1 to transfer 2 to maneuver (troops etc) 3 movement of personnel 4 to mobilize 5 to bring into play
丢	diu1	1 to lose 2 to put aside 3 to throw
动机	dong4ji1	motive; motivation
动手	dong4shou3	1 to set about (a task) 2 to raise a hand to hit sb 3 to touch; to handle (typically used in cautioning sb *not* to touch sth)
动态	dong4tai4	1 movement 2 motion 3 development 4 trend 5 dynamic (science)
动员	dong4yuan2	1 to mobilize 2 mobilization M: 次cì [次]
冻	dong4	1 to freeze 2 to feel very cold 3 aspic or jelly
洞	dong4	1 cave 2 hole 3 zero (unambiguous spoken form when spelling out numbers) M: 个gè [个]
豆制品	dou4zhi4pin3	1 legume-based product 2 soybean product
毒	du2	1 poison 2 to poison 3 poisonous 4 malicious 5 cruel 6 fierce 7 narcotics
堆	dui1	1 to pile up 2 to heap up 3 a mass 4 pile 5 heap 6 stack 7 large amount
对立	dui4li4	1 to oppose 2 to set sth against 3 to be antagonistic to 4 antithetical 5 relative opposite 6 opposing 7 diametrical
对应	dui4ying4	to correspond (to); to be equivalent to; to be a counterpart to
吨	dun1	1 ton (loanword) 2 Taiwan pr. [dùn]
朵	duo3	1 flower 2 earlobe 3 fig. item on both sides 4 classifier for flowers, clouds etc
躲	duo3	1 to hide 2 to dodge 3 to avoid
儿女	er2nü3	1 children; sons and daughters 2 a young man and a young woman (in love)
耳朵	er3duo5	1 ear M: 只zhī [只] / 个gè [个] / 对duì [对] 2 handle (on a cup)
二维码	er4wei2ma3	1 2D barcode; matrix code 2 (esp.) QR code
发布	fa1bu4	1 to release 2 to issue 3 to announce 4 to distribute
发觉	fa1jue2	1 to become aware 2 to detect 3 to realize 4 to perceive
发射	fa1she4	1 to shoot (a projectile) 2 to fire (a rocket) 3 to launch 4 to emit (a particle) 5 to discharge 6 emanation 7 emission
发行	fa1xing2	to publish; to issue; to release; to distribute
罚	fa2	to punish; to penalize; to fine
罚款	fa2kuan3	1 to fine 2 penalty 3 fine (monetary)
法规	fa3gui1	1 legislation 2 statute
法制	fa3zhi4	legal system and institutions
繁荣	fan2rong2	prosperous; booming
返回	fan3hui2	1 to return to 2 to come (or go) back
防治	fang2zhi4	1 to prevent and cure 2 prevention and cure
放大	fang4da4	1 to enlarge 2 to magnify
放弃	fang4qi4	to renounce; to abandon; to give up
分成	fen1cheng2	1 to divide (into) 2 to split a bonus 3 to break into 4 tenths 5 percentage allotment
分解	fen1jie3	1 to resolve 2 to decompose 3 to break down
分类	fen1lei4	to classify
分离	fen1li2	to separate
分析	fen1xi1	1 to analyze 2 analysis M: 个gè [个]
分享	fen1xiang3	to share (let others have some of sth good)
丰收	feng1shou1	to reap a bumper harvest
风度	feng1du4	1 elegance (for men) 2 elegant demeanor 3 grace 4 poise
