// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
为止	wei2zhi3	1 until 2 (used in combination with words like 到dào [到] or 至zhì [至] in constructs of the form 到...為止|到...为止)
为主	wei2zhu3	1 to rely mainly on 2 to attach most importance to
违法	wei2fa3	1 illegal 2 to break the law
违反	wei2fan3	to violate (a law)
违规	wei2gui1	to violate the rules
围绕	wei2rao4	1 to revolve around 2 to center on (an issue)
唯一	wei2yi1	only; sole
委托	wei3tuo1	1 to entrust 2 to trust 3 to commission
卫星	wei4xing1	1 satellite 2 moon M: 颗kē [颗]
胃	wei4	stomach M: 个gè [个]
慰问	wei4wen4	to express sympathy, greetings, consolation etc
温和	wen1he2	1 mild 2 gentle 3 moderate
文艺	wen2yi4	literature and art
卧室	wo4shi4	bedroom M: 间jiān [间]
握	wo4	1 to hold; to grasp 2 to clench (one's fist) 3 (bound form) to have in one's control 4 classifier: a handful
污染	wu1ran3	to pollute; to contaminate (lit. and fig.)
污水	wu1shui3	sewage
屋	wu1	1 (bound form) house 2 (bound form) room
无奈	wu2nai4	1 to have no alternative 2 frustrated 3 exasperated 4 helpless 5 (conjunction) but unfortunately
无疑	wu2yi2	undoubtedly; without doubt; for sure
舞	wu3	1 to dance 2 to wield 3 to brandish
物价	wu4jia4	(commodity) prices M: 个gè [个]
物业	wu4ye4	1 property 2 real estate 3 abbr. for 物业管理wùyèguǎnlǐ [物业管理], property management
物质	wu4zhi4	1 matter 2 substance 3 material 4 materialistic M: 个gè [个]
误解	wu4jie3	1 to misunderstand 2 misunderstanding
西红柿	xi1hong2shi4	tomato
西装	xi1zhuang1	1 suit 2 Western-style clothes M: 套tào [套]
喜剧	xi3ju4	a comedy M: 部bù [部] / 出chū [出]
戏	xi4	1 trick 2 drama 3 play 4 show M: 出chū [出] / 场chǎng [场] / 台tái [台]
戏剧	xi4ju4	1 a drama; a play; theater 2 script of a play
吓	xia4	1 to frighten 2 to scare
先后	xian1hou4	1 early or late; first and last; priority 2 in succession; one after another
先前	xian1qian2	before; previously
鲜艳	xian1yan4	bright-colored; gaily-colored
闲	xian2	1 enclosure 2 (variant of 闲xián [闲]) idle 3 unoccupied 4 leisure
显	xian3	1 to make visible 2 to reveal 3 prominent 4 conspicuous 5 (prefix) phanero-
现有	xian4you3	1 currently existing 2 currently available
现状	xian4zhuang4	current situation
线索	xian4suo3	1 trail 2 clues 3 thread (of a story)
献	xian4	1 to offer 2 to present 3 to dedicate 4 to donate 5 to show 6 to put on display 7 worthy person (old)
乡	xiang1	1 country or countryside 2 native place 3 home village or town 4 township (PRC administrative unit)
乡村	xiang1cun1	1 rustic 2 village 3 countryside
相等	xiang1deng3	1 equal 2 equally 3 equivalent
相应	xiang1ying4	1 to correspond 2 answering (one another) 3 to agree (among the part) 4 corresponding 5 relevant 6 appropriate 7 (modify) accordingly
香肠	xiang1chang2	sausage M: 根gēn [根]
详细	xiang2xi4	1 detailed 2 in detail 3 minute
享受	xiang3shou4	1 to enjoy 2 to live it up 3 pleasure M: 种zhǒng [种]
向导	xiang4dao3	guide
向前	xiang4qian2	1 forward 2 onward
向上	xiang4shang4	1 upward 2 up 3 to advance 4 to try to improve oneself 5 to make progress
相声	xiang4sheng5	1 comic dialogue 2 sketch 3 crosstalk
象征	xiang4zheng1	1 emblem 2 symbol 3 token 4 badge 5 to symbolize 6 to signify 7 to stand for
消除	xiao1chu2	1 to eliminate 2 to remove
消毒	xiao1du2	to disinfect; to sterilize
消防	xiao1fang2	1 firefighting 2 fire control
消费者	xiao1fei4zhe3	consumer
消极	xiao1ji2	1 negative 2 passive 3 inactive
小偷儿	xiao3tou1r5	thief
歇	xie1	1 to rest 2 to take a break 3 to stop 4 to halt 5 (dialect) to sleep 6 a moment 7 a short while
协议	xie2yi4	1 agreement 2 pact 3 protocol M: 项xiàng [项]
协议书	xie2yi4shu1	1 contract 2 protocol
斜	xie2	1 inclined 2 slanting 3 oblique 4 tilting
心态	xin1tai4	1 attitude (of the heart) 2 state of one's psyche 3 way of thinking 4 mentality
心疼	xin1teng2	1 to love dearly 2 to feel sorry for sb 3 to regret 4 to grudge 5 to be distressed
辛苦	xin1ku3	1 exhausting 2 hard 3 tough 4 arduous 5 to work hard 6 to go to a lot of trouble 7 hardship(s)
欣赏	xin1shang3	to appreciate; to enjoy; to admire
信念	xin4nian4	1 faith 2 belief 3 conviction
信箱	xin4xiang1	1 mailbox 2 post office box
行驶	xing2shi3	to travel along a route (of vehicles etc)
形态	xing2tai4	1 shape 2 form 3 pattern 4 morphology
性能	xing4neng2	function; performance; behavior
雄伟	xiong2wei3	1 grand 2 imposing 3 magnificent 4 majestic
熊	xiong2	1 bear 2 (coll.) to scold; to rebuke 3 (coll.) weak; incapable
休闲	xiu1xian2	1 leisure 2 relaxation 3 not working 4 idle 5 to enjoy leisure 6 to lie fallow
修复	xiu1fu4	1 to restore; to renovate 2 (computing) to repair (a corrupted file etc)
修建	xiu1jian4	1 to build 2 to construct
修养	xiu1yang3	1 accomplishment 2 training 3 self-cultivation
虚心	xu1xin1	1 open-minded 2 humble
许可	xu3ke3	1 to allow 2 to permit
选修	xuan3xiu1	1 (at a school) to take as an elective 2 an elective 3 elective (subject)
学科	xue2ke1	1 subject 2 branch of learning 3 course 4 academic discipline
学位	xue2wei4	1 academic degree 2 place in school
学者	xue2zhe3	scholar
寻求	xun2qiu2	to seek; to look for
询问	xun2wen4	to inquire
押金	ya1jin1	1 deposit 2 down payment
鸭子	ya1zi5	1 duck 2 male prostitute (slang)
亚军	ya4jun1	1 second place (in a sports contest) 2 runner-up
延伸	yan2shen1	1 to extend 2 to spread
严厉	yan2li4	1 severe 2 strict
严肃	yan2su4	1 (of an atmosphere etc) solemn; grave; serious 2 (of a manner etc) earnest; severe; exacting 3 to strictly enforce
言语	yan2yu5	1 to speak 2 to tell
研究所	yan2jiu1suo3	1 research institute 2 graduate studies 3 graduate school M: 个gè [个]
眼光	yan3guang1	1 gaze 2 insight 3 foresight 4 vision 5 way of looking at things
邀请	yao1qing3	1 to invite 2 invitation M: 个gè [个]
摇头	yao2tou2	to shake one's head
咬	yao3	1 to bite 2 to nip
也好	ye3hao3	1 that's fine 2 may as well 3 (reduplicated) regardless of whether ... or ...
业务	ye4wu4	1 business 2 professional work 3 service M: 项xiàng [项]
夜间	ye4jian1	1 nighttime 2 evening or night (e.g. classes)
一流	yi1liu2	1 top quality 2 front ranking
依法	yi1fa3	1 legal (proceedings) 2 according to law
依旧	yi1jiu4	1 as before; still 2 to remain the same
依据	yi1ju4	1 according to 2 basis 3 foundation
依照	yi1zhao4	according to; in light of
一辈子	yi1bei4zi5	(for) a lifetime
一带	yi1dai4	region; area
一旦	yi1dan4	1 in case (sth happens) 2 if 3 once (sth happens, then...) 4 when 5 in a short time 6 in one day
一句话	yi1ju4hua4	in a word; in short
一路	yi1lu4	1 the whole journey 2 all the way 3 going the same way 4 going in the same direction 5 of the same kind
一下儿	yi1xia4	1 (after a verb) a bit; a little (indicating brief duration, or softening the tone, or suggesting giving sth a try) 2 all at once; suddenly
一下子	yi1xia4zi5	1 in a short while 2 all at once 3 all of a sudden
一向	yi1xiang4	1 a period of time in the recent past 2 (indicating a period of time up to the present) all along; the whole time
乙	yi3	1 second of the ten Heavenly Stems 十天干shítiāngān [十天干] 2 second in order 3 letter "B" or Roman "II" in list "A, B, C", or "I, II, III" etc 4 second party (in legal contract, usually 乙方yǐfāng [乙方], as opposed to 甲方jiǎfāng [甲方]) 5 ethyl 6 bent 7 winding 8 radical in Chinese characters (Kangxi radical 5) 9 ancient Chinese compass point: 105°
以便	yi3bian4	1 so that 2 so as to 3 in order to
以往	yi3wang3	in the past; formerly
一口气	yi1kou3qi4	1 one breath 2 in one breath 3 at a stretch
一身	yi1shen1	1 whole body 2 from head to toe 3 single person 4 a suit of clothes
意识	yi4shi2	1 consciousness; awareness 2 (usu. followed by 到dào [到]) to be aware of; to realize
意味着	yi4wei4zhe5	1 to signify 2 to mean 3 to imply
意志	yi4zhi4	will; willpower; determination
因而	yin1er2	1 therefore 2 as a result 3 thus 4 and as a result, ...
饮料	yin3liao4	1 drink 2 beverage
饮食	yin3shi2	1 eating and drinking 2 food and drink; diet
印刷	yin4shua1	1 to print 2 printing
应	ying1	1 to agree (to do sth) 2 should 3 ought to 4 must 5 (legal) shall
硬	ying4	1 hard; stiff; solid 2 (fig.) strong; firm 3 resolutely; uncompromisingly 4 laboriously; with great difficulty 5 good (quality); able (person) 6 (of food) filling; substantial
硬件	ying4jian4	hardware
拥抱	yong1bao4	1 to embrace 2 to hug
拥有	yong1you3	to have; to possess
用不着	yong4bu5zhao2	1 not need 2 have no use for
用户	yong4hu4	1 user 2 consumer 3 subscriber 4 customer
用来	yong4lai2	to be used for
用于	yong4yu2	to use in; to use on; to use for
优惠	you1hui4	1 privilege 2 favorable (terms) 3 preferential (treatment) 4 discount (price)
优先	you1xian1	to have priority; to take precedence
幽默	you1mo4	1 (loanword) humor 2 humorous
尤其	you2qi2	especially; particularly
由此	you2ci3	1 hereby 2 from this
犹豫	you2yu4	to hesitate
游泳池	you2yong3chi2	swimming pool
友谊	you3yi4	1 companionship 2 fellowship 3 friendship
有毒	you3du2	poisonous
有害	you3hai4	1 destructive 2 harmful 3 damaging
有力	you3li4	1 powerful 2 forceful 3 vigorous
有利于	you3li4yu2	to be advantageous to; to be beneficial for
有着	you3zhe5	1 to have 2 to possess
羽毛球	yu3mao2qiu2	1 badminton 2 shuttlecock
羽绒服	yu3rong2fu2	down-filled garment
雨水	yu3shui3	rainwater; rainfall; rain
预备	yu4bei4	1 to prepare 2 to make ready 3 preparation 4 preparatory
预期	yu4qi1	1 to expect 2 to anticipate
元旦	Yuan2dan4	New Year's Day
园林	yuan2lin2	gardens; park; landscape garden
原理	yuan2li3	1 principle 2 theory
原始	yuan2shi3	1 first 2 original 3 primitive 4 original (document etc)
原先	yuan2xian1	1 originally 2 original 3 former
原有	yuan2you3	1 original 2 former
远处	yuan3chu4	distant place
怨	yuan4	1 to blame 2 (bound form) resentment; hatred; grudge
愿	yuan4	1 honest and prudent 2 variant of 愿yuàn [愿]
约束	yue1shu4	1 to restrict 2 to limit to 3 to constrain 4 restriction 5 constraint
月饼	yue4bing3	mooncake (esp. for the Mid-Autumn Festival)
月球	yue4qiu2	the moon
阅览室	yue4lan3shi4	reading room M: 间jiān [间]
运	yun4	1 to move 2 to transport 3 to use 4 to apply 5 fortune 6 luck 7 fate
运行	yun4xing2	1 (of celestial bodies etc) to move along one's course 2 (fig.) to function; to be in operation 3 (of a train service etc) to operate; to run 4 (of a computer) to run
灾	zai1	disaster; calamity
灾害	zai1hai4	1 calamity 2 disaster M: 个gè [个]
灾难	zai1nan4	disaster; catastrophe
灾区	zai1qu1	disaster area; stricken region
再次	zai4ci4	once more; once again
再也	zai4ye3	(not) ever again; (not) any longer
在场	zai4chang3	to be present; to be on the scene
在内	zai4nei4	1 (included) in it 2 among them
暂时	zan4shi2	temporary; provisional; for the time being
暂停	zan4ting2	1 to suspend 2 time-out (e.g. in sports) 3 stoppage 4 pause (media player)
糟	zao1	1 dregs 2 draff 3 pickled in wine 4 rotten 5 messy 6 ruined
糟糕	zao1gao1	1 too bad 2 how terrible 3 what bad luck 4 terrible 5 bad
早期	zao3qi1	early period; early phase; early stage
增	zeng1	(bound form) to increase; to augment; to add to
增产	zeng1chan3	to increase production
增大	zeng1da4	1 to enlarge 2 to amplify 3 to magnify
增多	zeng1duo1	1 to increase 2 to grow in number
增强	zeng1qiang2	1 to increase 2 to strengthen
赠	zeng4	1 to give as a present 2 to repel 3 to bestow an honorary title after death (old)
赠送	zeng4song4	to present as a gift
摘	zhai1	1 to take; to pick (flowers, fruit etc); to pluck; to remove; to take off (glasses, hat etc) 2 to select; to pick out 3 to borrow money at a time of urgent need
展览	zhan3lan3	1 to put on display 2 to exhibit 3 exhibition 4 show M: 个gè [个] / 次cì [次]
展示	zhan3shi4	to reveal; to display; to show; to exhibit
展现	zhan3xian4	to unfold before one's eyes; to emerge; to reveal; to display
占领	zhan4ling3	to capture; to seize; to occupy by force
占有	zhan4you3	1 to have 2 to own 3 to hold 4 to occupy 5 to possess 6 to account for (a high proportion etc)
涨	zhang3	to rise (of prices, rivers)
涨价	zhang3jia4	1 to appreciate (in value) 2 to increase in price
掌握	zhang3wo4	1 to grasp (often fig.) 2 to control 3 to seize (initiative, opportunity, destiny) 4 to master 5 to know well 6 to understand sth well and know how to use it 7 fluency
招生	zhao1sheng1	1 to enroll new students 2 to get students
招手	zhao1shou3	1 to wave 2 to beckon
珍贵	zhen1gui4	precious
珍惜	zhen1xi1	1 to treasure 2 to value 3 to cherish
珍珠	zhen1zhu1	pearl (CL:颗kē [颗],粒[lì]) (fig.) teardrop; tear
真诚	zhen1cheng2	sincere; genuine; true
真理	zhen1li3	truth M: 个gè [个]
真相	zhen1xiang4	the truth about sth; the actual facts
诊断	zhen3duan4	to diagnose
振动	zhen4dong4	1 to vibrate 2 to shake 3 vibration
震惊	zhen4jing1	1 to shock 2 to astonish
争议	zheng1yi4	1 controversy 2 dispute 3 to dispute
正版	zheng4ban3	1 genuine 2 legal 3 see also 盗版dàobǎn [盗版]
正规	zheng4gui1	1 regular 2 according to standards
正如	zheng4ru2	1 just as 2 precisely as
正义	zheng4yi4	1 justice 2 righteousness 3 just 4 righteous
证实	zheng4shi2	1 to confirm (sth to be true) 2 to verify
证书	zheng4shu1	1 credentials 2 certificate
挣	zheng1	used in 挣扎zhēngzhá [挣扎]
挣钱	zheng4qian2	to make money
之内	zhi1nei4	inside; within
之外	zhi1wai4	1 outside 2 excluding
之下	zhi1xia4	1 under 2 beneath 3 less than
之中	zhi1zhong1	1 inside 2 among 3 in the midst of (doing sth) 4 during
支出	zhi1chu1	1 to spend; to pay out 2 expenses; expenditure
支配	zhi1pei4	1 to control 2 to dominate 3 to allocate
执行	zhi2xing2	1 to implement 2 to carry out 3 to execute 4 to run
直线	zhi2xian4	1 straight line 2 sharply (rise or fall)
值班	zhi2ban1	1 to work a shift 2 on duty
职能	zhi2neng2	1 function 2 role
职位	zhi2wei4	position; post; job
职务	zhi2wu4	1 post 2 position 3 job 4 duties
只不过	zhi3bu5guo4	1 only; merely; nothing but; no more than 2 it's just that ...
只见	zhi3jian4	1 to see (the same thing) over and over again 2 to see, to one's surprise, (sth happen suddenly)
指标	zhi3biao1	1 (production) target; quota 2 index; indicator 3 sign; signpost 4 (computing) pointer
指甲	zhi3jia5	fingernail
指示	zhi3shi4	1 to point out 2 to indicate 3 to instruct 4 directives 5 instructions M: 个gè [个]
指责	zhi3ze2	1 to criticize 2 to find fault with 3 to denounce
至	zhi4	1 to arrive 2 most 3 to 4 until
制成	zhi4cheng2	1 to manufacture 2 to turn out (a product)
制约	zhi4yue1	1 to restrict 2 condition
治安	zhi4an1	1 law and order 2 public security
治理	zhi4li3	1 to govern 2 to administer 3 to manage 4 to control 5 governance
中断	zhong1duan4	1 to cut short 2 to break off 3 to discontinue 4 to interrupt
中秋节	Zhong1qiu1jie2	the Mid-Autumn Festival on 15th of 8th lunar month
中央	zhong1yang1	1 central 2 middle 3 center 4 central authorities (of a state)
中药	zhong1yao4	traditional Chinese medicine M: 服fù [服] / 种zhǒng [种]
终点	zhong1dian3	1 the end 2 end point 3 finishing line (in a race) 4 destination 5 terminus M: 个gè [个]
终身	zhong1shen1	1 lifelong 2 all one's life 3 marriage
终止	zhong1zhi3	to stop; to terminate
中毒	zhong4du2	to be poisoned
众多	zhong4duo1	numerous
周期	zhou1qi1	1 period 2 cycle
竹子	zhu2zi5	bamboo M: 棵kē [棵] / 支zhī [支] / 根gēn [根]
主办	zhu3ban4	1 to organize 2 to host (a conference or sports event)
主导	zhu3dao3	1 leading 2 dominant 3 prevailing 4 to lead 5 to direct 6 to dominate
主观	zhu3guan1	subjective
主管	zhu3guan3	1 in charge 2 responsible for 3 person in charge 4 manager
主体	zhu3ti3	1 main part 2 bulk 3 body 4 subject 5 agent
助理	zhu4li3	assistant
助手	zhu4shou3	assistant; helper
注册	zhu4ce4	1 to register 2 to enroll
注射	zhu4she4	1 injection 2 to inject
注视	zhu4shi4	to look attentively at; to closely watch; to gaze at
注重	zhu4zhong4	1 to pay attention to 2 to emphasize
祝贺	zhu4he4	1 to congratulate 2 congratulations M: 个gè [个]
专辑	zhuan1ji2	1 album 2 record (music) 3 special collection of printed or broadcast material
专利	zhuan1li4	1 patent 2 sth uniquely enjoyed (or possessed etc) by a certain group of people 3 monopoly
转化	zhuan3hua4	1 to change; to turn; to convert 2 (genetics) to transform 3 (chemistry) isomerization
转换	zhuan3huan4	1 to change 2 to switch 3 to convert 4 to transform
转让	zhuan3rang4	to transfer (ownership, rights etc)
转向	zhuan3xiang4	1 to change direction 2 fig. to change one's stance
装饰	zhuang1shi4	1 to decorate 2 decoration 3 decorative 4 ornamental
撞	zhuang4	1 to knock against 2 to bump into 3 to run into 4 to meet by accident
资本	zi1ben3	capital (economics)
资产	zi1chan3	1 property 2 assets
资助	zi1zhu4	1 to subsidize 2 to provide financial aid 3 subsidy
子弹	zi3dan4	bullet M: 粒lì [粒] / 颗kē [颗] / 发fā [发]
仔细	zi3xi4	1 careful; attentive; cautious 2 to be careful; to look out 3 (dialect) thrifty; frugal
紫	zi3	1 purple 2 violet
自豪	zi4hao2	proud (of one's achievements etc)
自杀	zi4sha1	1 to kill oneself 2 to commit suicide 3 to attempt suicide
自愿	zi4yuan4	voluntary
总裁	zong3cai2	1 chairman 2 director-general (of a company etc)
总数	zong3shu4	1 total 2 sum 3 aggregate
总算	zong3suan4	1 at long last 2 finally 3 on the whole
总体	zong3ti3	1 completely 2 totally 3 total 4 entire 5 overall 6 population (statistics)
阻碍	zu3ai4	1 to obstruct 2 to hinder 3 to block 4 obstruction 5 hindrance
组织	zu3zhi1	1 to organize 2 organization 3 (biology) tissue 4 (textiles) weave M: 个gè [个]
醉	zui4	intoxicated
尊敬	zun1jing4	1 to respect; to revere; to esteem 2 honorable; distinguished (used on formal occasions before a term of address)
尊重	zun1zhong4	1 to esteem 2 to respect 3 to honor 4 to value 5 eminent 6 serious 7 proper
遵守	zun1shou3	to comply with; to abide by; to respect (an agreement)
