爱心	ai4xin1	noun love; compassion; caring
带领	dai4ling3	verb lead; guide
单元	dan1yuan2	noun unit
当初	dang1chu1	noun originally; at the outset; in the first place; at that time
当地	dang1di4	noun place in question; locality
当然	dang1ran2	adverb without doubt; certainly; of course  adjective 1 natural 2 ex officio
当中	dang1zhong1	noun 1 in the middle; in the centre 2 among
刀	dao1	noun 1 knife; sword 2 mechanics cutting tool; tool 3 sth. shaped like a knife  measure word [for paper] 100 sheets
导演	dao3yan3	verb direct (a film, play, etc.)  noun director
到达	dao4da2	verb arrive; reach
到底	dao4di3	adverb 1 to the end; to the finish 2 at last; in the end; finally 3 [in a question for emphasis] 4 after all; in the final analysis
得分	de2//fen1	verb score
等待	deng3dai4	verb wait; await
底下	di3xia5	noun 1 under; below; beneath 2 next; later; afterwards
地区	di4qu1	noun 1 area; district; region 2 prefecture 3 special region or district within a country 4 region of the world as distinguished from an independent state  adjective of the area, region or district
电视剧	dian4shi4ju4	TV drama (or play)
电视台	dian4shi4tai2	television station
电台	dian4tai2	noun 1 transmitter-receiver; transceiver 2 broadcasting (or radio) station
电子邮件	dian4zi3you2jian4	email
调	diao4	verb transfer; shift; move  noun 1 accent 2 music key 3 air; tune; melody 4 linguistics tone; tune 5 opinion; view; tone (of one's words)
调查	diao4cha2	verb investigate; inquire into; look into; survey
订	ding4	verb 1 conclude; draw up; agree on 2 subscribe to (a newspaper, etc.); book (seats, tickets, etc.); order (merchandise, etc.) 3 make corrections; revise 4 staple together
定期	ding4qi1	verb fix (or set) a date  adjective regular; at regular intervals; periodical (opp. 活期)
东部	dong1bu4	1 the east 2 eastern part
动力	dong4li4	noun 1 motive power; power 2 motive (or driving) force; impetus
动人	dong4ren2	adjective moving; touching
读者	du2zhe3	noun reader (of a book, newspaper, etc.)
短处	duan3chu5	noun shortcoming; failing; fault; weakness (opp. 长处)
短裤	duan3ku4	noun shorts
短期	duan3qi1	noun short-term; short duration (opp. 长期)
断	duan4	verb 1 break; snap 2 break off; cut off; stop 3 give up; abstain from 4 sports stop; intercept 5 dry up  verb judge; decide  adverb literary [usu. in the negative] absolutely; decidedly
队员	dui4yuan2	noun team member
对待	dui4dai4	verb treat; approach; handle
对方	dui4fang1	noun the other (or opposite) side; the other party
对手	dui4shou3	noun 1 opponent; adversary 2 match; equal
对象	dui4xiang4	noun 1 target; object 2 colloquial boy or girl friend; partner
顿	dun4	verb 1 pause 2 calligraphy pause with the brush in order to reinforce the beginning or ending of a stroke 3 arrange; settle 4 dated touch the ground (with one's head) 5 stamp (one's foot)  adverb literary suddenly; immediately  measure word [indicating frequency]  adjective fatigued; tired
发表	fa1biao3	verb 1 issue; make public; deliver; announce 2 publish
发出	fa1//chu1	verb issue; send out; give out
发达	fa1da2	adjective developed; flourishing  verb literary promote; develop
发动	fa1dong4	verb 1 start; launch 2 call into action; mobilize; arouse
发明	fa1ming2	verb 1 invent 2 literary expound; elucidate; explain  noun invention
发生	fa1sheng1	verb happen; occur; take place
发送	fa1song5	verb handle sb.'s funeral; send sb.'s coffin to the cemetery
发言	fa1yan2	noun speech; lecture
发展	fa1zhan3	verb 1 develop; advance; expand; grow 2 recruit; admit
反对	fan3dui4	verb oppose; be against; fight; combat (opp. 赞成)
反复	fan3fu4	verb back out; chop and change  noun reversal; relapse  adverb repeatedly; again and again
反应	fan3ying4	noun 1 response; reaction 2 chemistry physics reaction 3 physiology medicine reaction  verb react; respond
反正	fan3zheng5	adverb 1 [often used correlatively with 不管, 无论,  etc.] in any case; at any rate; anyway 2 since; as
范围	fan4wei2	noun limits; scope; range  verb literary set limits to; limit the scope of
方式	fang1shi4	noun way; fashion; pattern
防	fang2	verb guard against; provide against  noun 1 defence 2 dyke; embankment
防止	fang2zhi3	verb prevent; guard against; forestall; avoid
房东	fang2dong1	noun owner and lessor of a house or room; landlord or landlady (opp. 房客)
房屋	fang2wu1	noun houses or buildings; housing
房租	fang2zu1	noun rent (for a house, flat, etc.); rental
访问	fang3wen4	verb 1 visit; call on; interview 2 internet visit (a website or web page)
放到	fang4 dao4
飞行	fei1xing2	verb (of an aircraft, missile, etc. or of a pilot) fly; make a flight
费	fei4	verb 1 cost; spend; expend 2 consume too much; expend sth. too quickly; be wasteful (opp. 省)  noun 1 fee; dues; expenses; charge 2 (Fèi) a surname
费用	fei4yong5	noun cost; expenses
分别	fen1bie2	verb 1 part; leave each other 2 distinguish; differentiate  noun difference  adverb 1 in different ways; differently 2 separately; individually; respectively
分配	fen1pei4	verb 1 distribute; allot 2 assign; dispose  noun economics distribution
分组	fen1//zu3	verb divide into groups
丰富	feng1fu4	adjective rich; abundant; plentiful  verb enrich
风险	feng1xian3	noun risk; hazard
否定	fou3ding4	verb negate; deny  adjective negative
否认	fou3ren4	verb deny; repudiate (opp. 承认)
服装	fu2zhuang1	noun dress; clothing; costume
福	fu2	noun 1 good fortune; blessing; happiness (opp. 祸) 2 (Fú) abbreviation Fujian Province  verb dated (of a woman) make a curtsy
父母	fu4mu3	noun father and mother; parents
父亲	fu4qin5	noun father
付	fu4	verb 1 hand (or turn) over to; commit to 2 pay  noun (Fù) a surname  VARIANT OF 21308416副fu4副2 measure word 1 [for a set of sth.] 2 [for facial expression]
负责	fu4ze2	verb (-//-) be responsible for; be in charge of  adjective conscientious; responsible
复印	fu4yin4	verb xerox; duplicate
复杂	fu4za2	adjective complicated; complex (opp. 简单)
富	fu4	adjective rich; wealthy; abundant (opp. 贫, 穷)  noun 1 resource; property 2 (Fù) a surname
改进	gai3jin4	noun improvement  verb 1 improve; make better; better; mend 2 mechanics modify
改造	gai3zao4	verb transform; reform; remould; remake
概念	gai4nian4	noun 1 concept; conception; notion; idea 2 new design
赶	gan3	verb 1 catch up with; overtake 2 try to catch; make a dash for; rush for; run after; chase 3 hurry; rush through 4 drive 5 drive away; expel; drive out 6 encounter; come across; run into; happen to; find oneself in (a situation); avail oneself of (an opportunity)  adverb swiftly; quickly  preposition by; until
赶到	gan3dao4	verb (-//-) rush or hurry to a place  preposition colloquial not until; when
赶紧	gan3jin3	adverb hastily; without losing time
赶快	gan3kuai4	adverb at once; quickly; hurriedly
敢	gan3	verb 1 be brave enough; dare 2 have the confidence to; be certain; be sure 3 literary self-deprecating make bold; venture  adjective bold; brave; courageous; daring
感冒	gan3mao4	noun common cold  verb 1 catch cold 2 dialect be interested in; like (usu. used in the negative)
感情	gan3qing2	noun 1 emotion; feeling; sentiment 2 affection; attachment; love; fondness
