爱心	ai4xin1	noun love; compassion; caring
室	shi4	noun 1 room 2 room as an administrative or working unit; department 3 serial number of apartments 4 wife 5 family 6 cavity 7 archaic astronomy shi (the thirteenth of the twenty-eight constellations (二十八宿) of the celestial sphere, consisting of two stars in a straight line in Pegasus)
收费	shou1//fei4	verb collect fees; charge
收看	shou1kan4	verb watch (television); look in
收听	shou1ting1	verb listen in
收音机	shou1yin1ji1	noun radio (set); wireless (set)
手续	shou3xu4	noun procedures; formalities; process
手指	shou3zhi3	noun finger
首都	shou3du1	noun capital (of a country)
首先	shou3xian1	adverb before all others; first  conjunction in the first place; first of all; above all
受	shou4	verb 1 receive; accept 2 suffer; subjected to 3 stand; endure; bear 4 pleasant
受伤	shou4//shang1	verb injured; wounded; sustain an injury
书架	shu1jia4	noun bookshelf; a set of bookshelves; bookcase
输	shu1	verb 1 transport; convey 2 literary contribute money; donate  verb lose; beaten; defeated (opp. 赢)
输入	shu1ru4	verb 1 bring in; introduce 2 import 3 electronics input 4 computing input; enter
熟人	shu2ren2	noun acquaintance; friend (opp. 生人儿)
属	shu3	noun 1 category 2 biology genus 3 family members; dependants  verb 1 be under; be subordinate to 2 belong to 3 be 4 be born in the year of (one of the 12 symbolic animals associated with a 12-year cycle)
属于	shu3yu2	verb belong to; be part of
束	shu4	verb 1 bind; tie 2 control; restrain  noun 1 beam 2 (Shù) a surname  measure word bundle; bunch; sheaf
数量	shu4liang4	noun quantity; amount
双	shuang1	adjective 1 two; twin; both; dual (opp. 单) 2 even (opp. 单) 3 double; twofold  measure word [for shoes, socks, chopsticks, etc.] pair
双方	shuang1fang1	noun both sides; the two parties
思想	si1xiang3	noun 1 thought; thinking; ideology 2 idea; intention  verb (-//-) consider; think of
死	si3	verb die; be dead (opp. 生, 活)  adjective 1 to the death 2 implacable; deadly 3 fixed; rigid; inflexible 4 impassable; closed 5 colloquial extremely; to death 6 colloquial [expressing anger, complaint, etc., sometimes jocularly] devil; damn it  adverb [often in the negative] stubbornly; adamantly; unyieldingly
速度	su4du4	noun 1 speed; rate; pace; tempo 2 physics speed; velocity 3 music tempo
随	sui2	verb 1 follow; come (or go) along with 2 comply with; adapt to 3 let (sb. do as he likes) 4 dialect look like; resemble  preposition along with (some other action)  noun (Suí) a surname
所	suo3	noun 1 place 2 office; bureau; institute 3 dated troop station in the Ming Dynasty  measure word [for houses, schools, hospitals, etc.]  auxiliary literary 1 [noun or pronoun＋所＋verb] a [with 的 to modify a noun] b [with 的 as a noun] c [as a noun without 的, esp. when the verb is monosyllabic] 2 [所＋verb] a [with 的 to modify a noun] b [with 的 as a noun] c [as a noun without 的, esp. in set phrases in which the verb is monosyllabic] 3 [为 or 被＋ noun or pronoun ＋所＋ verb, expressing a passive meaning] 4 [所＋ verb used as the object of 有 or 无] a [as the object of 有] b [as the object of 无, esp. in set phrases]
所长	suo3chang2	noun literary what one is good at; one's strong point; one's forte
台	tai2	noun abbreviation VARIANT OF 31066624台风tai2feng1台风 typhoon
谈	tan2	verb talk; chat; discuss  noun 1 what is said or talked about 2 (Tán) a surname
谈话	tan2hua4	verb (-//-) talk; chat; discuss  noun 1 talk; discussion 2 statement
谈判	tan2pan4	verb negotiate; hold talks
汤	tang1	noun 1 original meaning hot water; boiling water 2 [usu. in place names] hot springs 3 water used for boiling sth. 4 soup; broth 5 medicine a liquid preparation of medicinal herbs; decoction 6 (Tāng) a surname
糖	tang2	noun 1 sugar 2 sweets; candy; sweetmeats 3 VARIANT OF 31168000碳水化合物tan4shui3hua4he2wu4碳水化合物 carbohydrate
特色	te4se4	noun characteristic; distinguishing feature (or quality)
提前	ti2qian2	verb 1 shift to an earlier date; move up (a date); advance 2 do sth. in advance (or ahead of time)
提问	ti2wen4	verb (esp. of a teacher) put a question to; quiz
题目	ti2mu4	noun 1 title; subject; topic 2 (for learning) problem; puzzle; examination question
体会	ti3hui4	noun knowledge; understanding; personal experience  verb know (or learn) from experience; realize
体现	ti3xian4	verb embody; incarnate; reflect; give expression to
体验	ti3yan4	verb learn through practice (or personal experience)
天空	tian1kong1	noun sky; heaven
甜	tian2	adjective 1 sweet; honeyed; sugary (opp. 苦) 2 (of sleep) sound
调	tiao2	verb 1 suit well; fit perfectly 2 mix; adjust 3 mediate  verb 1 provoke; tease; tantalize 2 incite; instigate; sow discord
调整	tiao2zheng3	verb adjust; regulate; revise
跳	tiao4	verb 1 jump; leap; bounce 2 move up and down; beat 3 skip (over); make omissions
跳高	tiao4gao1	verb sports high jump
跳舞	tiao4//wu3	verb 1 dance (in a performance) 2 dance (socially)
跳远	tiao4yuan3	verb sports long jump; broad jump
铁	tie3	noun 1 chemistry iron (Fe) 2 arms; weapon 3 (Tiě) a surname  adjective 1 hard or strong as iron 2 resolved; determined 3 indisputable; unalterable 4 cruel; merciless; ruthless
铁路	tie3lu4	noun railway; railroad
听力	ting1li4	noun 1 hearing (ability) 2 aural comprehension (in language teaching)
听众	ting1zhong4	noun audience; listeners
停止	ting2zhi3	verb stop; cease; halt; suspend; call off
通常	tong1chang2	adjective general; usual; normal  adverb generally; usually; ordinarily; as a rule
通信	tong1xin4	verb 1 (-//-) communicate by letter; correspond 2 transmit (or convey) message; pass on (or convey) information  noun telecommunication
同意	tong2yi4	verb agree; consent; approve
痛	tong4	verb 1 ache; pain 2 sadness; sorrow  adverb extremely; deeply; bitterly
痛苦	tong4ku3	noun pain; suffering; agony
头	tou2	noun 1 head 2 hair or hair style 3 top; end 4 beginning or end 5 remnant; end 6 chief; head; leader 7 side; aspect  adjective 1 first 2 leading 3 [before a numeral] first 4 dialect [before 年 or 天] previous; last  preposition dialect 1 before; prior to 2 [between two numerals, indicating an approximate number] about  measure word 1 [for certain domestic animals] 2 [for garlic] 3 [after the numeral 一, for a marriage]
头脑	tou2nao3	noun 1 brains; mind 2 main threads; clue 3 colloquial chieftain; leader; head
突出	tu1//chu1	verb break through  verb give prominence to; stress; highlight  adjective 1 protruding; projecting; sticking out 2 outstanding; prominent
突然	tu1ran2	adjective sudden; abrupt; unexpected  adverb suddenly; abruptly; unexpectedly
图	tu2	noun 1 picture; drawing; chart; map 2 scheme; plan; attempt 3 intention; intent  verb pursue; seek (23218944浑天仪hun2tian1yi2浑天仪 hun2tian1yi2)
图画	tu2hua4	noun drawing; picture; painting
土	tu3	noun 1 soil; earth 2 land; ground  adjective 1 local; native 2 homemade; indigenous (opp. 洋) 3 unrefined; unenlightened 4 (crude) opium
团	tuan2	noun 1 group; society; organization 2 military regiment 3 abbreviation = 36361216中国共产主义青年团zhong1guo2gong4chan3zhu3yi4qing1nian2tuan2中国共产主义青年团 the Communist Youth League of China; the League 4 sth. shaped like a ball  verb 1 unite; conglomerate 2 roll sth. into a ball; roll  adjective round; circular  measure word [for sth. in the shape of a ball]  noun dumpling dialect
团结	tuan2jie2	verb unite; rally  adjective friendly; harmonious
团体	tuan2ti3	noun organization; group; team
推动	tui1//dong4	verb push forward; promote; give impetus to
推广	tui1guang3	verb popularize; spread; extend
推进	tui1jin4	verb 1 push on; carry forward; advance; give impetus to 2 military move forward; push; drive 3 mechanics propel
推开	tui1kai1	1 to push open (a gate etc) 2 to push away 3 to reject 4 to decline
退	tui4	verb 1 move back; retreat (opp. 进) 2 cause to move back; withdraw; remove 3 withdraw from; quit 4 decline; recede; ebb 5 fade 6 return; give back; refund 7 cancel; break off
退出	tui4//chu1	verb withdraw from; secede; quit (opp. 进入)
退休	tui4xiu1	verb retire (71591467离退休li2tui4xiu1离退休 li2-tui4xiu1)
外交	wai4jiao1	noun diplomacy; foreign affairs
外面	wai4mian5	noun outside; out (opp. 里面儿)
外文	wai4wen2	noun foreign language
完美	wan2mei3	adjective perfect; consummate
完善	wan2shan4	verb make perfect; improve; refine  adjective perfect; consummate; full
完整	wan2zheng3	adjective complete; integrated; intact; entire
玩具	wan2ju4	noun toy; plaything
往往	wang3wang3	adverb often; frequently
危害	wei1hai4	verb harm; endanger; jeopardize
危险	wei1xian3	verb dangerous; perilous
为	wei4	preposition 1 in the interest of; for 2 because of 3 for the purpose of; for the sake of 4 to; towards  verb literary stand for; support
围	wei2	verb enclose; surround; encompass  noun all round; around  measure word arm span
伟大	wei3da4	adjective great; mighty; grand
卫生	wei4sheng1	noun hygiene; health; sanitation  adjective sanitary; hygienic; good for one's health
卫生间	wei4sheng1jian1	toilet (room)
为了	wei4le5	preposition for; for the sake of; in order to
温暖	wen1nuan3	adjective warm  verb make warm
文化	wen2hua4	noun 1 civilization; culture 2 education; culture; schooling; literacy 3 education; schooling; literacy
文件	wen2jian4	noun 1 official documents; papers; instruments 2 articles or works on political theories, current affairs, academic research, etc. 3 computing file
文明	wen2ming2	noun civilization; culture  adjective 1 civilized; courtesy; manners 2 dated new; modern and Western
文学	wen2xue2	noun literature
文章	wen2zhang1	noun 1 essay; article 2 literary works; writings 3 hidden (or implied) meaning
文字	wen2zi4	noun 1 characters; script; writing; language 2 written language 3 writing (form or style)
握手	wo4//shou3	verb shake hands; clasp hands
屋子	wu1zi5	noun room
武器	wu3qi4	noun weapon; arms
武术	wu3shu4	noun wushu; martial arts; kung fu (such as shadowboxing, swordplay, etc., formerly cultivated for self-defence, now a form of physical exercise)
舞台	wu3tai2	noun stage; arena
西部	xi1bu4	noun 1 (US) western film; cowboy film; a western 2 film of the western region (China)
希望	xi1wang4	verb hope; wish; expect  noun 1 hope; wish; expectation 2 that on which hope is placed
系	xi4	noun 1 system; series 2 department (in a college); faculty 3 geology system
下来	xia4//lai5	verb 1 come down (opp. 上去；上来) 2 come down to a place regarded as being lower or below 3 (of farm crops) be harvested 4 (of a period of time) be over; come to an end
下面	xia4mian5	noun 1 below; under; underneath 2 next in order; following 3 lower level; subordinate
下去	xia4//qu5	verb 1 go down; descend (opp. 上去) 2 go down to a place regarded as lower or below; step down (from the stage, platform, etc.) 3 lessen; be reduced; go down (opp. 上去)
先进	xian1jin4	adjective advanced; exceptional; foremost; excellent; exemplary; ahead of the times (opp. 落后)
显得	xian3de5	verb look; seem; appear
显然	xian3ran2	adjective obvious; evident; clear
显示	xian3shi4	verb show; display; demonstrate; manifest  noun petrochemical show; indication
现场	xian4chang3	noun 1 scene (of an incident) 2 site; spot
现代	xian4dai4	noun modern times; contemporary age  adjective modern; contemporary
现金	xian4jin1	noun 1 ready money; cash 2 cash reserve in a bank
现实	xian4shi2	noun reality; actuality  adjective real; actual
现象	xian4xiang4	noun appearance (of things); phenomenon
线	xian4	noun 1 thread; string; wire 2 mathematics line 3 shaped like a line, thread, etc. 4 route; line 5 demarcation line; boundary 6 (political) line 7 brink; verge 8 VARIANT OF 32977408线索xian4suo3线索 clue; lead; thread 9 telecommunications line  measure word [used with numeral 一 before abstract things to mean “very little”]
相比	xiang1bi3	verb compare
相当	xiang1dang1	verb match; balance; correspond to; about equal to; commensurate with  adjective suitable; fit; appropriate  adverb quite; considerably
相关	xiang1guan1	verb mutually related; interrelated
相互	xiang1hu4	adjective mutual; reciprocal  adverb mutually; reciprocally; each other
相似	xiang1si4	verb resemble; similar; alike
香	xiang1	adjective 1 fragrant; sweet-smelling; aromatic; scented (opp. 臭) 2 savoury; appetizing; delicious; tasty 3 with relish; with good appetite 4 (of sleep) sound 5 popular; welcome  noun 1 perfume; fragrance; spice; flavouring 2 incense; joss stick
香蕉	xiang1jiao1	noun banana
消费	xiao1fei4	verb consume
消失	xiao1shi1	verb disappear; vanish; dissolve; die (or fade) away
消息	xiao1xi5	noun 1 news; information 2 tidings; news
效果	xiao4guo3	noun 1 effect; result 2 theater sound and lighting effects
写作	xie3zuo4	verb writing
血	xue4	noun 1 blood 2 related by blood 3 energetic and high-spirited 4 menses
心	xin1	noun 1 heart 2 heart; mind; feeling; intention 3 centre; core 4 archaic astronomy xin (the fifth of the twenty-eight constellations (二十八宿) into which the celestial sphere was divided, consisting of three stars in Scorpio)
信	xin4	noun 1 confidence; trust; faith 2 sign; evidence 3 letter; mail 4 message; word; information 5 fuse 6 VARIANT OF 33430528芯xin4芯 xìn core 7 (Xìn) a surname  verb 1 believe 2 profess faith in; believe in  adjective true; real  preposition at will; at random; without plan
信封	xin4feng1	noun envelope
信任	xin4ren4	verb trust; have confidence in
行李	xing2li5	noun luggage; baggage
形成	xing2cheng2	verb take shape; form
形式	xing2shi4	noun form; shape
形象	xing2xiang4	noun 1 image; form; figure 2 literary or artistic image; imagery  adjective vivid
形状	xing2zhuang4	noun form; appearance; shape
幸福	xing4fu2	noun happiness; well-being  adjective happy
幸运	xing4yun4	noun good fortune; good luck  adjective fortunate; lucky
性	xing4	noun 1 nature 2 character; disposition 3 property; quality 4 suffix designating a specified quality, property, scope, etc. 5 sex; sexuality 6 linguistics gender
性别	xing4bie2	noun sex distinction; sex; gender
性格	xing4ge2	noun nature; disposition; character; temperament; inheritance
修	xiu1	verb 1 embellish; decorate 2 repair; mend; overhaul 3 write; compile 4 study; cultivate 5 build; construct 6 trim; prune  noun 1 abbreviation VARIANT OF 33609728修正主义xiu1zheng4zhu3yi4修正主义 revisionism 2 (Xiū) a surname  adjective literary long; tall and slender
修改	xiu1gai3	verb revise; modify; amend; alter
需求	xu1qiu2	noun requirement; demand
需要	xu1yao4	noun need  verb need; want; require; demand
宣布	xuan1bu4	verb declare; proclaim; announce
宣传	xuan1chuan2	verb conduct propaganda; propagate; disseminate
选手	xuan3shou3	noun athlete selected for a sports meet; (selected) contestant; player
学费	xue2fei4	noun 1 tuition (fee); premium 2 price for what one has learned to one's cost
训练	xun4lian4	verb train; drill
压	ya1	verb 1 press; push down; hold down; weigh down 2 keep under control; control; keep under; quell; hold back 3 bring pressure to bear on; suppress; daunt; intimidate 4 approach; be getting near; draw near 5 shelve; set aside 6 risk (money); stake 7 surpass; outdo 8 (in a gamble) bet; stake  noun pressure
压力	ya1li4	noun 1 physics pressure (force) 2 overwhelming force; pressure 3 burden; strain
烟	yan1	noun 1 smoke 2 mist; vapour 3 cigarette or pipe tobacco 4 opium 5 soot  verb (of eyes) be irritated by smoke  noun tobacco plant
眼前	yan3qian2	noun 1 right before one's eyes 2 at the moment; at present; now
演	yan3	verb 1 develop; evolve 2 deduce; elaborate 3 drill; practise 4 perform; play; act; put on
演唱	yan3chang4	verb sing (in a performance)  noun vocal performance
演唱会	yan3chang4hui4	vocal concert
演出	yan3chu1	noun performance; show  verb perform; show; put on a show
演员	yan3yuan2	noun actor or actress; performer
羊	yang2	noun 1 sheep; goat; ram; ewe 2 (Yáng) a surname
阳光	yang2guang1	noun sunlight; sunshine  adjective 1 cheerful; optimistic 2 open; transparent
要是	yao4shi5	conjunction colloquial if; suppose; in case
衣架	yi1jia4	noun 1 coat hanger; clothes-rack; clothes horse 2 clothes tree (or stand) 3 stature; figure
一切	yi1qie4	pronoun 1 all; every 2 everything; all
已	yi3	verb literary stop; cease; end  adverb 1 already (opp. 未) 2 literary too 3 literary thereafter; afterwards
以来	yi3lai2	noun (of time) since
一方面	yi1fang1mian4	noun one side  conjunction on the one hand..., on the other hand...; for one thing..., for another...
艺术	yi4shu4	noun 1 art 2 skill; art; craft  adjective artistic; conforming to good taste
意外	yi4wai4	noun accident; mishap  adjective unexpected; unforeseen
意义	yi4yi4	noun meaning; sense; significance
因此	yin1ci3	conjunction so; therefore; for this reason; consequently
银	yin2	noun 1 chemistry silver (Ag) 2 relating to currency or money  adjective silver-coloured
银牌	yin2pai2	noun silver medal
印象	yin4xiang4	noun impression
应当	ying1dang1	verb [as aux.] should; ought to
迎接	ying2jie1	verb meet; welcome; greet
营养	ying2yang3	noun nutrition; nourishment
赢	ying2	verb 1 win; beat (opp. 输) 2 gain (profit)
影视	ying3shi4	noun abbreviation film and television
应用	ying4yong4	verb apply; use  adjective applied
优点	you1dian3	noun merit; strong (or good) point; advantage; virtue (opp. 缺点)
优势	you1shi4	noun superiority; preponderance; edge; dominant position
由	you2	noun 1 cause; reason 2 (Yóu) a surname  verb 1 pass through; go by way of 2 be up to sb.; rest with sb.  preposition 1 by; through; via 2 (done) by sb. 3 because of; due to 4 by means of 5 from
由于	you2yu2	preposition owing to; thanks to; as a result of; due to; in virtue of  conjunction because; since
邮件	you2jian4	noun postal matter; post; mail
邮票	you2piao4	noun postage stamp; stamp
邮箱	you2xiang1	noun postbox; mailbox
游	you2	noun 1 part of a river; reach 2 (Yóu) a surname  verb swim
游戏	you2xi4	noun recreation; game  verb play
游泳	you2yong3	verb swim  noun sports swimming
有的是	you3de5shi4	common phrase have plenty of; there's no lack of
有利	you3li4	adjective advantageous; beneficial; favourable
有效	you3xiao4	adjective efficacious; effective; valid
预报	yu4bao4	verb forecast; predict
预防	yu4fang2	verb prevent; take precautions against; guard against; forestall
预计	yu4ji4	verb calculate in advance; estimate
预习	yu4xi2	verb (of students) prepare lessons before class; preview
员	yuan2	noun 1 person engaged in some field of activity; person with a post; staff member 2 member (of an organization) 3 vicinity  measure word [describing a brave soldier]
员工	yuan2gong1	noun staff; personnel
愿望	yuan4wang4	noun desire; wish; aspiration
约	yue1	noun pact; agreement; appointment  verb 1 make an appointment; arrange 2 ask or invite in advance 3 restrict; restrain 4 mathematics reduce (fractions)  adjective 1 economical; frugal 2 simple; brief  adverb about; around; approximately
乐队	yue4dui4	noun orchestra; band
运输	yun4shu1	verb transport; carry; convey
杂志	za2zhi4	noun 1 magazine; journal 2 [often in book titles] miscellaneous notes; notes
早已	zao3yi3	adverb 1 long ago; for a long time 2 dialect in the past
造	zao4	verb 1 make; build; create 2 invent; cook up; concoct 3 run wild; mess things up 4 colloquial lay out without restraint  noun 1 law one of the parties in a legal agreement or lawsuit 2 dialect crop  verb 1 literary go to; arrive at 2 train; educate  noun achievements; attainments
造成	zao4cheng2	verb create; cause; give rise to; bring about
责任	ze2ren4	noun 1 duty; responsibility 2 responsibility for a fault or wrong; blame
增加	zeng1jia1	verb increase; raise; add
增长	zeng1zhang3	verb increase; rise; grow
展开	zhan3kai1	verb 1 spread out; unfold; open up 2 launch; unfold; develop; carry out
张	zhang1	verb 1 open; spread; stretch 2 set out; display 3 magnify; exaggerate 4 look 5 opening of a new shop  noun 1 archaic astronomy zhang (the twenty-sixth of the twenty-eight constellations (二十八宿) into which the celestial sphere was divided, consisting of five stars in the shape of a drawn bow in Hydra) 2 (Zhāng) a surname  measure word 1 [for bed, desk, paper, leather, face, mouth, etc.] 2 dialect [usu. referring to age] unit of ten
照	zhao4	noun 1 photograph; picture 2 license; permit  verb 1 shine; illuminate; light up 2 reflect; mirror 3 take a picture (or photograph); photograph; film; shoot 4 take care of; look after 5 notify 6 contrast 7 understand  preposition 1 in the direction of; towards 2 according to; in accordance with
者	zhe3	affix 1 [after a verb or adjective, or a verb or adjective phrase to indicate a class of persons or things] one or those who; the thing or things which; -er 2 [after a noun phrase ending with 工作 “work” or 主义 “ism” to indicate the person or persons doing the stated work, or holding the stated doctrine] -er; -ist 3 literary [with the numbers 二, 三, 数, etc.]  auxiliary 1 classical [after a word, phrase, or clause to mark a pause, as in giving definitions] 2 dated [in the early vernacular used at the end of a command]  pronoun [usu. in the early vernacular] this
真实	zhen1shi2	adjective true; real; authentic
争	zheng1	verb 1 contend; vie; strive 2 argue; dispute 3 dialect short of; wanting  pronoun dated how; why [usu. in poetry]
争取	zheng1qu3	verb strive for; fight for; win over
整	zheng3	verb 1 put in order; rectify 2 repair; mend; renovate 3 make sb. suffer; punish; fix 4 dialect do; make; work  adjective 1 whole; complete; full; entire (opp. 零) 2 in good order; neat; tidy
整个	zheng3ge4	adjective whole; entire
整理	zheng3li3	verb put in order; straighten out; arrange; sort out
整齐	zheng3qi2	adjective 1 in good order; neat; tidy 2 even; regular
整体	zheng3ti3	noun whole; entirety
整天	zheng3tian1	noun whole day; all day; all day long
整整	zheng3zheng3	adjective whole; full
正	zheng4	verb 1 rectify; straighten; set right 2 make right; correct 3 rectify; correct one's thinking  adjective 1 situated in the middle; main (opp. 侧, 偏) 2 obverse; right (opp. 反) 3 honest; upright 4 correct; right 5 (of colour, flavour, etc.) pure; right 6 regular; standard 7 principal; chief (opp. 副) 8 (of figures, designs, etc.) regular 9 mathematics positive; plus (opp. 负) 10 physics positive; plus (opp. 负)  adverb 1 straight; upright 2 punctual; sharp 3 just; right; precisely; exactly 4 just (doing sth.); just now
正式	zheng4shi4	adjective formal; official; regular
证	zheng4	noun 1 evidence; proof; testimony 2 certificate; card  verb prove; demonstrate
证件	zheng4jian4	noun credentials; papers; certificate
证据	zheng4ju4	noun evidence; proof; testimony
证明	zheng4ming2	noun certificate; identification; testimonial  verb prove; testify; bear out
支	zhi1	verb 1 prop up; put up 2 protrude; raise 3 support; sustain; bear 4 send away; put sb. off 5 pay or draw (money)  noun (Zhī) a surname  noun branch; offshoot  measure word 1 [for long, thin, inflexible objects] 2 [for troops, fleets, sports teams, etc.] 3 [for songs or musical compositions] 4 [for the size or quality of yarn] count 5 (for the illuminating power of electric lights) watt  noun abbreviation VARIANT OF 19929344地支di4zhi1地支 (twelve) Earthly Branches (used in combination with the ten Heavenly Stems (天干) to designate years, months, days, and hours)
支持	zhi1chi2	verb 1 sustain; hold out; bear 2 support; back; stand by
支付	zhi1fu4	verb pay (money); defray
只	zhi3	adverb only; just; merely
直	zhi2	adjective 1 straight (opp. 弯,曲) 2 vertical; perpendicular (opp. 横) 3 just; upright 4 frank; straightforward 5 stiff; numb  verb straighten  noun vertical stroke (in Chinese characters)  adverb 1 directly; straight 2 continuously 3 just; simply
直播	zhi2bo1	verb argriculture direct seeding  verb live radio or TV transmission
直到	zhi2dao4	verb until
值	zhi2	noun 1 value 2 mathematics value  verb 1 be worth 2 literary happen to 3 on duty; take one's turn at sth.  adjective colloquial worthwhile; worth it
值得	zhi2//de5	verb worth; merit; deserve
职工	zhi2gong1	noun 1 staff; workers and office staff 2 dated workers; labour
职业	zhi2ye4	noun occupation; profession; vocation  adjective professional
只好	zhi3hao3	adverb have to; forced to
只是	zhi3shi4	adverb only; just; merely  conjunction except that; only; but
只有	zhi3you3	conjunction only; alone  adverb have to; forced to
指	zhi3	noun finger  verb 1 point at; point to 2 indicate; point out; refer to 3 depend on; count on 4 literary (of hair) bristle  measure word fingerwidth; digit
指出	zhi3chu1	point out
指导	zhi3dao3	verb guide; direct
至今	zhi4jin1	adverb up to now; to this day; so far
至少	zhi4shao3	adverb at (the) least
志愿	zhi4yuan4	noun aspiration; wish; ideal  verb do sth. of one's own free will; volunteer
志愿者	zhi4yuan4zhe3	noun volunteer
制定	zhi4ding4	verb lay down; draw up; formulate; draft
制度	zhi4du4	noun system; institution
制造	zhi4zao4	verb 1 make; manufacture 2 pejorative create; fabricate
制作	zhi4zuo4	verb make; manufacture
中部	zhong1bu4	noun central section; middle part
中华民族	Zhong1hua2min2zu2	the Chinese nation
终于	zhong1yu2	adverb at (long) last; in the end; finally
钟	zhong1	noun 1 bell 2 clock 3 time as measured in hours and minutes
种	zhong3	noun 1 biology species 2 race; stock 3 branch; division; kind; sort; type 4 seed; strain; breed 5 guts; grit  measure word kind; sort; type
种子	zhong3zi5	noun 1 seed 2 sports seeded player; seed
重大	zhong4da4	adjective great; weighty; major; significant
周围	zhou1wei2	noun around; round; about
猪	zhu1	noun pig; hog; swine
主持	zhu3chi2	noun host; MC  verb 1 take charge (or care) of; manage; direct; run 2 preside over; chair 3 uphold; stand for
主动	zhu3dong4	adjective 1 take the initiative; do sth. of one's own accord; take the lead (opp. 被动) 2 mechanics driving
主任	zhu3ren4	noun director; head; chairman
主意	zhu3yi5	noun 1 idea; plan 2 decision; definite view
主张	zhu3zhang1	noun view; position; proposition  verb advocate; stand for; maintain; hold
注意	zhu4//yi4	verb pay attention to; take note (or notice) of
祝	zhu4	verb express good wishes; wish  noun (Zhù) a surname  verb literary cut
抓	zhua1	verb 1 grab; seize; clutch 2 scratch 3 arrest; catch 4 stress; pay special attention to 5 take charge of; responsible for 6 control; attract
抓住	zhua1//zhu4	verb 1 catch (or seize) hold of; grip 2 catch; capture 3 grip the attention; gripping
专家	zhuan1jia1	noun expert; specialist
专门	zhuan1men2	adjective special; specialized  adverb for a particular purpose; specially
专题	zhuan1ti2	noun specific subject; special topic
专业	zhuan1ye4	noun 1 specific field of study; specialization; speciality; discipline 2 specialized trade (or profession); special line; professional
转	zhuan3	verb 1 turn; shift; change 2 pass on; transfer
转变	zhuan3bian4	verb change; transform
状况	zhuang4kuang4	noun condition; state; state of affairs
状态	zhuang4tai4	noun state; condition; state of affairs
追	zhui1	verb 1 chase (or run) after; pursue 2 court (a woman); woo 3 trace; look into; get to the bottom of 4 seek; go after 5 recall; reminisce 6 retroactively; posthumously
准	zhun3	noun standard; norm; criterion  preposition literary in accordance with; follow  adjective 1 accurate; exact 2 partly; almost; near; quasi-; para- chemistry  adverb colloquial definitely; certainly
资格	zi1ge5	noun 1 qualifications 2 seniority
资金	zi1jin1	noun 1 fund 2 capital
子女	zi3nü3	noun sons and daughters; children; offspring
自从	zi4cong2	preposition (of time) from; since
自动	zi4dong4	adjective automatic  adverb voluntarily; of one's own accord
自觉	zi4jue2	verb [usu. in the negative] conscious; aware of  adjective on one's own initiative; consciously
自然	zi4ran5	adjective at ease; natural; free from affectation
自身	zi4shen1	noun self; oneself
自主	zi4zhu3	verb act on one's own; decide for oneself; keep the initiative in one's own hands
总	zong3	verb assemble; put together; sum up  adjective 1 general; overall; total 2 chief; head; general  adverb 1 always; invariably 2 anyway; after all; eventually; sooner or later 3 surely; certainly; probably  noun courteous [short for 总编, 总裁, 总工程师, 总经理, etc. following a surname] editor-in-chief; president; chief engineer; director-general
总结	zong3jie2	noun summary; summing-up  verb sum up; summarize; review
总是	zong3shi4	always
足够	zu2gou4	verb enough; ample; sufficient
足球	zu2qiu2	noun 1 soccer; football 2 football (used in the game)
组合	zu3he2	noun 1 association; combination 2 mathematics combination  verb make up; compose; constitute
左右	zuo3you4	noun 1 left and right sides 2 [after a numeral] about; or so 3 those in close attendance; retinue  verb master; control; influence  adverb dialect anyway; anyhow; in any case
作品	zuo4pin3	noun works (esp. of literature and art)
作者	zuo4zhe3	noun author; writer
做客	zuo4//ke4	verb be a guest; visit
