// HSK 3.0/Level 7-9
秉承	bing3cheng2	1 to take orders 2 to receive commands 3 to carry on (a tradition)
并非	bing4fei1	really isn't
并购	bing4gou4	1 merger and acquisition (M and A) 2 acquisition 3 to take over
并列	bing4lie4	to stand side by side; to be juxtaposed
并行	bing4xing2	1 to proceed in parallel 2 side by side (of two processes, developments, thoughts etc)
病床	bing4chuang2	1 hospital bed 2 sickbed
病症	bing4zheng4	1 disease 2 illness
拨	bo1	1 to push aside with the hand, foot, a stick etc 2 to dial 3 to allocate 4 to set aside (money) 5 to poke (the fire) 6 to pluck (a string instrument) 7 to turn round 8 classifier: group, batch
拨款	bo1kuan3	1 to allocate funds 2 appropriation
拨通	bo1tong1	to get through to sb on the phone
波及	bo1ji2	1 to spread to 2 to involve 3 to affect
波澜	bo1lan2	1 billows 2 great waves (fig. of a story with great momentum)
波涛	bo1tao1	1 great waves 2 billows
波折	bo1zhe2	twists and turns
剥夺	bo1duo2	1 to deprive 2 to expropriate 3 to strip (sb of his property)
剥削	bo1xue1	1 to exploit 2 exploitation
伯伯	bo2bo5	1 father's elder brother 2 uncle
伯父	bo2fu4	1 father's elder brother 2 term of respect for older man M: 个gè [个]
伯母	bo2mu3	1 wife of father's elder brother 2 aunt 3 (polite form of address for a woman who is about the age of one's mother) M: 个gè [个]
驳回	bo2hui2	1 to reject 2 to turn down 3 to overrule
脖子	bo2zi5	neck M: 个gè [个]
搏斗	bo2dou4	to wrestle; to fight; to struggle
不定	bu4ding4	1 indefinite 2 indeterminate 3 (botany) adventitious
不见得	bu4jian4de5	1 not necessarily 2 not likely
不利于	bu4 li4yu2
不慎	bu4shen4	1 incautious 2 inattentive
不适	bu4shi4	1 unwell 2 indisposed 3 out of sorts
不算	bu4suan4	1 to not calculate 2 to not count 3 to not be considered (as) 4 to have no weight
不像话	bu4xiang4hua4	1 unreasonable 2 shocking 3 outrageous
不屑	bu4xie4	1 to disdain to do sth 2 to think sth not worth doing 3 to feel it beneath one's dignity
不懈	bu4xie4	1 untiring 2 unremitting 3 indefatigable
不亚于	bu4ya4yu2	1 no less than 2 not inferior to
不亦乐乎	bu4yi4le4hu1	1 lit. isn't that a joy? (quote from Confucius) 2 fig. (jocular) extremely; awfully
不翼而飞	bu4yi4er2fei1	1 to disappear without trace 2 to vanish all of a sudden 3 to spread fast 4 to spread like wildfire
不用说	bu4yong4shuo1	needless to say; it goes without saying
不正之风	bu4zheng4zhi1feng1	unhealthy tendency
补给	bu3ji3	1 supply 2 replenishment 3 to replenish
补救	bu3jiu4	to remedy
捕捉	bu3zhuo1	to catch; to seize; to capture
哺育	bu3yu4	1 to feed 2 (fig.) to nurture; to foster
不耻下问	bu4chi3xia4wen4	not feel ashamed to ask and learn from one's subordinates
不辞而别	bu4ci2er2bie2	to leave without saying good-bye
不得而知	bu4de2er2zhi1	1 unknown 2 unable to find out
不得已	bu4de2yi3	1 to act against one's will 2 to have no alternative but to 3 to have to 4 to have no choice 5 must
不妨	bu4fang2	there is no harm in; might as well
不服	bu4fu2	1 not to accept sth 2 to want to have sth overruled or changed 3 to refuse to obey or comply 4 to refuse to accept as final 5 to remain unconvinced by 6 not to give in to
不服气	bu4fu2qi4	1 unwilling to concede 2 defiant 3 indignant 4 to find it galling
不假思索	bu4jia3si1suo3	(idiom) to act without taking time to think; to react instantly; to fire from the hip
不解	bu4jie3	1 to not understand 2 to be puzzled by 3 indissoluble
不经意	bu4jing1yi4	not paying attention; carelessly; by accident
不景气	bu4jing3qi4	1 slack 2 in a slump
不堪	bu4kan1	1 cannot bear 2 cannot stand 3 utterly 4 extremely
不可避免	bu4ke3bi4mian3	unavoidably
不可思议	bu4ke3si1yi4	(idiom) inconceivable; unimaginable; unfathomable
不肯	bu4 ken3
不理	bu4li3	1 to refuse to acknowledge 2 to pay no attention to 3 to take no notice of 4 to ignore
不了了之	bu4liao3liao3zhi1	1 to settle a matter by leaving it unsettled 2 to end up with nothing definite
不难	bu4 nan2
不平	bu4ping2	1 uneven 2 injustice 3 unfairness 4 wrong 5 grievance 6 indignant 7 dissatisfied
不起眼	bu4qi3yan3	1 unremarkable 2 nothing out of the ordinary
不容	bu4rong2	1 must not 2 cannot 3 to not allow 4 cannot tolerate
不如说	bu4ru2 shuo1
不同寻常	bu4tong2xun2chang2	1 out of the ordinary 2 unusual
不为人知	bu4wei2ren2zhi1	1 not known to anyone 2 secret 3 unknown
不惜	bu4xi1	1 not stint 2 not spare 3 not hesitate (to do sth) 4 not scruple (to do sth)
不相上下	bu4xiang1shang4xia4	1 equally matched 2 about the same
不宜	bu4yi2	1 not suitable 2 inadvisable 3 inappropriate
不已	bu4yi3	(used after a verb) endlessly; incessantly
不以为然	bu4yi3wei2ran2	1 not to accept as correct (idiom); to object 2 to disapprove 3 to take exception to
不由得	bu4you2de5	1 can't help 2 cannot but
不由自主	bu4you2zi4zhu3	(idiom) can't help but; involuntarily
不予	bu4yu3	verb literary not grant 不予考虑 bùyǔ kǎolǜ refuse to take into consideration; will not consider 不予批准 bùyǔ pīzhǔn not grant approval
不约而同	bu4yue1er2tong2	(idiom) (of two or more people) to take the same action without prior consultation; (usu. used adverbially) all (or both) of them, independently; as if by prior agreement
不知	bu4zhi1	1 not to know 2 unaware 3 unknowingly 4 fig. not to admit (defeat, hardships, tiredness etc)
不知不觉	bu4zhi1bu4jue2	(idiom) unconsciously; unwittingly
不准	bu4zhun3	1 not to allow 2 to forbid 3 to prohibit
布局	bu4ju2	1 arrangement 2 composition 3 layout 4 opening (chess jargon)
步伐	bu4fa2	1 pace 2 (measured) step 3 march
步入	bu4ru4	1 to step into 2 to enter
步骤	bu4zhou4	1 procedure 2 step
部件	bu4jian4	part; component
部署	bu4shu3	1 to dispose 2 to deploy 3 deployment
猜谜	cai1mi2	1 to answer a riddle 2 to guess (i.e. form an opinion without much evidence)
猜想	cai1xiang3	1 to guess; to conjecture; to suppose 2 (math.) hypothesis
才华	cai2hua2	talent M: 份fèn [份]
财经	cai2jing1	finance and economics
财力	cai2li4	financial resources
财务	cai2wu4	financial affairs; finance
财物	cai2wu4	1 property 2 belongings
财政	cai2zheng4	public finance; government finance
裁	cai2	1 to cut out (as a dress) 2 to cut 3 to trim 4 to reduce 5 to diminish 6 to cut back (e.g. on staff) 7 decision 8 judgment
裁定	cai2ding4	ruling
裁决	cai2jue2	1 ruling 2 adjudication
采	cai3	1 color 2 complexion 3 looks 4 variant of 彩cǎi [彩] 5 variant of 采cǎi [采]
采集	cai3ji2	1 to gather 2 to collect 3 to harvest
采矿	cai3kuang4	mining
彩电	cai3dian4	color TV
彩虹	cai3hong2	rainbow M: 道dào [道]
彩霞	cai3xia2	clouds tinged with sunset hues
菜市场	cai4shi4chang3	food market
参见	can1jian4	1 to refer to 2 see also 3 compare (cf.) 4 to pay respect to
参军	can1jun1	1 to join the army 2 (official title in imperial China) military adviser; aide-de-camp
参谋	can1mou2	1 staff officer 2 to give advice
参照	can1zhao4	1 to consult a reference 2 to refer to (another document)
餐桌	can1zhuo1	dining table; dinner table M: 张zhāng [张]
残	can2	1 to destroy 2 to spoil 3 to ruin 4 to injure 5 cruel 6 oppressive 7 savage 8 brutal 9 incomplete 10 disabled 11 to remain 12 to survive 13 remnant 14 surplus
残留	can2liu2	1 to remain; to be left over 2 residual; remnant 3 residue
残缺	can2que1	1 badly damaged 2 shattered
残忍	can2ren3	1 cruel 2 mean 3 merciless 4 ruthless
惭愧	can2kui4	ashamed
惨白	can3bai2	deathly pale
惨痛	can3tong4	1 bitter 2 painful 3 deeply distressed
惨重	can3zhong4	disastrous
灿烂	can4lan4	1 to glitter 2 brilliant 3 splendid
苍蝇	cang1ying5	housefly M: 只zhī [只]
沧桑	cang1sang1	1 great changes 2 ups and downs 3 vicissitudes 4 abbr. of 沧海桑田cānghǎisāngtián [沧海桑田]
舱	cang1	1 cabin 2 the hold of a ship or airplane
藏匿	cang2ni4	1 to cover up 2 to conceal 3 to go into hiding
藏品	cang2pin3	1 museum piece 2 collector's item 3 precious object
藏身	cang2shen1	1 to hide 2 to go into hiding 3 to take refuge
操控	cao1kong4	1 to control 2 to manipulate
操劳	cao1lao2	1 to work hard 2 to look after
操心	cao1xin1	to worry about
槽	cao2	1 trough 2 manger 3 groove 4 channel 5 (Tw) (computing) hard drive
草案	cao3an4	draft (legislation, proposal etc)
草坪	cao3ping2	lawn
侧面	ce4mian4	1 lateral side 2 side 3 aspect 4 profile
侧重	ce4zhong4	to place particular emphasis on
测算	ce4suan4	to take measurements and calculate
测验	ce4yan4	1 test 2 to test M: 次cì [次] / 个gè [个]
层出不穷	ceng2chu1bu4qiong2	1 more and more emerge 2 innumerable succession 3 breeding like flies (idiom)
蹭	ceng4	1 to rub against 2 to walk slowly 3 (coll.) to freeload
差错	cha1cuo4	1 mistake; slip-up; fault; error 2 accident; mishap
差额	cha1e2	1 balance (financial) 2 discrepancy (in a sum or quota) 3 difference
插手	cha1shou3	1 to get involved in 2 to meddle 3 interference
插图	cha1tu2	illustration
插嘴	cha1zui3	1 to interrupt (sb talking) 2 to butt in 3 to cut into a conversation
茶道	cha2dao4	1 Japanese tea ceremony 2 sado
茶馆儿	cha2guan3r5	a teashop
查处	cha2chu3	to investigate and handle (a criminal case)
查明	cha2ming2	1 to investigate and find out 2 to ascertain
查找	cha2zhao3	1 to search for 2 to look up
察觉	cha2jue2	1 to sense 2 to perceive 3 to become aware of 4 to detect
察看	cha2kan4	1 to watch 2 to look carefully at
诧异	cha4yi4	1 flabbergasted 2 astonished
掺	chan1	to mix; to blend; to dilute; to adulterate
搀	chan1	1 to take by the arm and assist 2 variant of 掺chān [掺]
馋	chan2	1 gluttonous 2 greedy 3 to have a craving
禅杖	chan2zhang4	the staff of a Buddhist monk
缠	chan2	1 to wind around 2 to wrap round 3 to coil 4 tangle 5 to involve 6 to bother 7 to annoy
产	chan3	1 to give birth 2 to reproduce 3 to produce 4 product 5 resource 6 estate 7 property
产地	chan3di4	1 source (of a product) 2 place of origin 3 manufacturing location
产物	chan3wu4	1 product 2 result (of)
产值	chan3zhi2	1 value of output 2 output value
铲	chan3	to scrape the ground with a spade (to make it level or to remove weeds); to shovel
铲子	chan3zi5	shovel; spade; trowel; spatula (kitchen utensil) M: 把bǎ [把]
阐述	chan3shu4	1 to expound (a position) 2 to elaborate (on a topic) 3 to treat (a subject)
颤抖	chan4dou3	1 to shudder 2 to shiver 3 to shake 4 to tremble
猖狂	chang1kuang2	1 savage 2 furious
长达	chang2da2	1 to extend as long as 2 to lengthen out to
长期以来	chang2qi1yi3lai2	for a long time
长效	chang2xiao4	to be effective over an extended period
长征	chang2zheng1	1 expedition 2 long journey
长足	chang2zu2	remarkable (progress, improvement, expansion etc)
常理	chang2li3	1 common sense 2 conventional reasoning and morals
常人	chang2ren2	ordinary person
常态	chang2tai4	normal state
常温	chang2wen1	1 room temperature 2 ordinary temperatures
偿还	chang2huan2	1 to repay 2 to reimburse
嫦娥	Chang2e2	1 Chang'e, the lady in the moon (Chinese mythology) 2 one of the Chang'e series of PRC lunar spacecraft
厂家	chang3jia1	1 factory; manufacturer 2 (coll.) a factory owner; the factory management
敞开	chang3kai1	1 to open wide 2 unrestrictedly
畅谈	chang4tan2	1 to talk freely 2 to discuss without inhibition
畅销	chang4xiao1	1 to sell well 2 bestselling; chart-topping
倡议	chang4yi4	1 to suggest 2 to initiate 3 proposal 4 initiative
抄袭	chao1xi2	1 to plagiarize 2 to copy 3 to attack the flank or rear of an enemy
钞票	chao1piao4	1 paper money 2 a bill (e.g. 100 yuan) M: 张zhāng [张] / 扎zā [扎]
超标	chao1biao1	1 to cross the limit 2 to be over the accepted norm 3 excessive
超车	chao1che1	to overtake (another car)
超前	chao1qian2	1 to be ahead of one's time 2 to surpass or outdo one's predecessors 3 to be ahead of the pack 4 to take the lead 5 advanced
超速	chao1su4	1 to exceed the speed limit 2 to speed 3 high-speed
朝代	chao2dai4	1 dynasty 2 reign (of a king)
